mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.452166,0.00840139,6.29,1.0,0.581199,5,0.239,1,0.5546,0.886,0.428564,0.0295,2025-09-07T15:51:52.455,0.440365
0.452166,0.00840139,6.29,1.0,0.581199,5,0.239,2,0.5546,0.516,0.428564,0.0295,2025-09-07T15:52:04.899,0.440365
0.452166,0.00840139,6.29,1.0,0.581199,5,0.239,3,0.5546,0.589,0.428564,0.0295,2025-09-07T15:52:17.442,0.440365
0.452166,0.00840139,6.29,1.0,0.581199,5,0.239,4,0.5546,0.96,0.428564,0.0295,2025-09-07T15:52:30.527,0.440365
0.452166,0.00840139,6.29,1.0,0.581199,5,0.239,5,0.5546,0.55,0.428564,0.0295,2025-09-07T15:52:43.004,0.440365
0.396616,0.00880075,6.14,1.0,0.453134,4,0.074,1,0.51,0.52,0.34621,-0.043,2025-09-07T15:50:45.687,0.371413
0.396616,0.00880075,6.14,1.0,0.453134,4,0.074,2,0.51,0.635,0.34621,-0.043,2025-09-07T15:50:59.158,0.371413
0.396616,0.00880075,6.14,1.0,0.453134,4,0.074,3,0.51,1.013,0.34621,-0.043,2025-09-07T15:51:12.547,0.371413
0.396616,0.00880075,6.14,1.0,0.453134,4,0.074,4,0.51,0.608,0.34621,-0.043,2025-09-07T15:51:26.247,0.371413
0.396616,0.00880075,6.14,1.0,0.453134,4,0.074,5,0.51,0.572,0.34621,-0.043,2025-09-07T15:51:39.899,0.371413
0.651081,0.00715389,6.6,1.0,0.786737,6,0.601,1,0.5427,0.566,0.546038,0.0362,2025-09-07T15:52:56.098,0.59856
0.651081,0.00715389,6.6,1.0,0.786737,6,0.601,2,0.5427,0.534,0.546038,0.0362,2025-09-07T15:53:08.445,0.59856
0.651081,0.00715389,6.6,1.0,0.786737,6,0.601,3,0.5427,0.563,0.546038,0.0362,2025-09-07T15:53:20.733,0.59856
0.651081,0.00715389,6.6,1.0,0.786737,6,0.601,4,0.5427,0.884,0.546038,0.0362,2025-09-07T15:53:33.150,0.59856
0.651081,0.00715389,6.6,1.0,0.786737,6,0.601,5,0.5427,0.543,0.546038,0.0362,2025-09-07T15:53:45.564,0.59856
0.721292,0.00649903,7.14,1.0,0.826252,7,0.961,1,0.533,0.535,0.538016,0.0259,2025-09-07T15:53:58.410,0.629654
0.721292,0.00649903,7.14,1.0,0.826252,7,0.961,2,0.533,0.553,0.538016,0.0259,2025-09-07T15:54:11.104,0.629654
0.721292,0.00649903,7.14,1.0,0.826252,7,0.961,3,0.533,0.554,0.538016,0.0259,2025-09-07T15:54:23.800,0.629654
0.721292,0.00649903,7.14,1.0,0.826252,7,0.961,4,0.533,0.538,0.538016,0.0259,2025-09-07T15:54:36.072,0.629654
0.721292,0.00649903,7.14,1.0,0.826252,7,0.961,5,0.533,0.54,0.538016,0.0259,2025-09-07T15:54:48.768,0.629654
0.692468,0.00575162,6.23,1.0,0.817827,2,0.043,1,0.4289,0.961,0.611636,0.0001,2025-09-07T15:48:45.361,0.652052
0.692468,0.00575162,6.23,1.0,0.817827,2,0.043,2,0.4289,0.597,0.611636,0.0001,2025-09-07T15:48:57.330,0.652052
0.692468,0.00575162,6.23,1.0,0.817827,2,0.043,3,0.4289,0.885,0.611636,0.0001,2025-09-07T15:49:09.268,0.652052
0.692468,0.00575162,6.23,1.0,0.817827,2,0.043,4,0.4289,0.589,0.611636,0.0001,2025-09-07T15:49:21.716,0.652052
0.692468,0.00575162,6.23,1.0,0.817827,2,0.043,5,0.4289,0.798,0.611636,0.0001,2025-09-07T15:49:33.882,0.652052
0.641337,0.00616627,7.64,1.0,0.780297,10,1.924,1,0.5755,0.583,0.528193,0.1025,2025-09-07T15:57:16.395,0.584765
0.641337,0.00616627,7.64,1.0,0.780297,10,1.924,2,0.5755,0.968,0.528193,0.1025,2025-09-07T15:57:29.642,0.584765
0.641337,0.00616627,7.64,1.0,0.780297,10,1.924,3,0.5755,1.123,0.528193,0.1025,2025-09-07T15:57:43.014,0.584765
0.641337,0.00616627,7.64,1.0,0.780297,10,1.924,4,0.5755,0.534,0.528193,0.1025,2025-09-07T15:57:55.606,0.584765
0.641337,0.00616627,7.64,1.0,0.780297,10,1.924,5,0.5755,0.533,0.528193,0.1025,2025-09-07T15:58:08.592,0.584765
0.579764,0.00697827,7.41,1.0,0.697336,9,1.304,1,0.5578,0.569,0.480791,0.0463,2025-09-07T15:56:08.821,0.530278
0.579764,0.00697827,7.41,1.0,0.697336,9,1.304,2,0.5578,0.623,0.480791,0.0463,2025-09-07T15:56:21.527,0.530278
0.579764,0.00697827,7.41,1.0,0.697336,9,1.304,3,0.5578,0.587,0.480791,0.0463,2025-09-07T15:56:36.623,0.530278
0.579764,0.00697827,7.41,1.0,0.697336,9,1.304,4,0.5578,0.555,0.480791,0.0463,2025-09-07T15:56:49.935,0.530278
0.579764,0.00697827,7.41,1.0,0.697336,9,1.304,5,0.5578,1.04,0.480791,0.0463,2025-09-07T15:57:03.479,0.530278
0.591818,0.00710825,7.06,1.0,0.701014,8,1.005,1,0.5266,0.565,0.4887,0.0255,2025-09-07T15:55:01.778,0.540259
