epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,6.23396215e+01,3.58839713e+02,0.00000000e+00,3.08119616e+00,3.46823828e-01,4.73170767e+02
2,2.32653761e+01,2.32229091e+02,0.00000000e+00,2.34719020e+00,3.01281762e-01,5.94819228e+02
3,1.64348935e+01,1.88806571e+02,0.00000000e+00,1.70206340e+00,2.58319505e-01,6.28900386e+02
4,1.25662643e+01,1.81044174e+02,0.00000000e+00,1.41225266e+00,2.35049323e-01,7.58978793e+02
5,9.92212811e+00,1.54111962e+02,0.00000000e+00,1.00944368e+00,1.98445366e-01,8.23733624e+02
6,1.27247153e+01,1.61781012e+02,2.00000014e-02,8.52216688e-01,1.83696202e-01,7.05442713e+01
7,9.24741371e+00,1.56197144e+02,4.00000028e-02,6.27513895e-01,1.53881652e-01,3.64690512e+01
8,8.56614726e+00,1.69917613e+02,6.00000024e-02,4.29410985e-01,1.27605346e-01,2.76998894e+01
9,7.00459788e+00,1.64725419e+02,8.00000057e-02,4.11175566e-01,1.23017496e-01,2.00099609e+01
10,7.18538965e+00,1.83665720e+02,1.00000001e-01,3.51061767e-01,1.13182031e-01,1.91371127e+01
11,5.62635150e+00,1.47197960e+02,1.00000001e-01,3.38162509e-01,1.13374997e-01,1.51673643e+01
12,4.68771253e+00,1.37349937e+02,1.00000001e-01,3.49273763e-01,1.12897698e-01,1.62572030e+01
13,4.31348721e+00,1.37050089e+02,1.00000001e-01,2.40071745e-01,9.21567999e-02,1.17072730e+01
14,4.41074595e+00,1.31494956e+02,1.00000001e-01,1.96878450e-01,8.71416422e-02,1.08935573e+01
15,4.45585466e+00,1.39424283e+02,1.00000001e-01,1.93374466e-01,8.51485695e-02,1.02819465e+01
16,3.62618525e+00,1.18447294e+02,1.00000001e-01,1.52893161e-01,7.72464791e-02,8.89698219e+00
17,3.92384427e+00,1.36499580e+02,1.00000001e-01,3.02940217e-01,1.02298167e-01,1.22640546e+01
18,3.95261829e+00,1.43081418e+02,1.00000001e-01,2.75167382e-01,1.01201386e-01,1.19397413e+01
19,3.31703190e+00,1.16703067e+02,1.00000001e-01,1.99568137e-01,8.70882668e-02,1.08060941e+01
20,3.69308455e+00,1.32025534e+02,1.00000001e-01,1.48614444e-01,7.52845249e-02,8.70299845e+00
21,3.18680655e+00,1.19021111e+02,1.00000001e-01,1.49761858e-01,7.27517814e-02,7.17145678e+00
22,2.98024406e+00,1.13573466e+02,1.00000001e-01,1.30036521e-01,6.92349151e-02,7.54702227e+00
23,2.98500198e+00,1.26313988e+02,1.00000001e-01,1.58099383e-01,7.56680673e-02,7.86191896e+00
24,2.93142943e+00,1.09540681e+02,1.00000001e-01,1.68618712e-01,7.96174510e-02,8.73184248e+00
25,3.46312858e+00,1.25758128e+02,1.00000001e-01,1.13781462e-01,6.43313854e-02,7.37059546e+00
26,3.16426773e+00,1.25173636e+02,1.00000001e-01,1.61870807e-01,7.87822667e-02,7.91420698e+00
27,2.83556749e+00,1.14365116e+02,1.00000001e-01,2.34531968e-01,9.41915741e-02,9.37691149e+00
28,2.68816838e+00,1.07728574e+02,1.00000001e-01,1.54498158e-01,7.61852640e-02,7.53585045e+00
29,2.94553785e+00,1.15540377e+02,1.00000001e-01,1.75064174e-01,8.15256152e-02,9.56651724e+00
30,2.47224873e+00,9.92235736e+01,1.00000001e-01,1.81368074e-01,8.36518264e-02,7.23861980e+00
31,2.40808319e+00,1.01820787e+02,1.00000001e-01,1.23165146e-01,6.81805416e-02,7.43012707e+00
32,2.30478315e+00,1.01334038e+02,1.00000001e-01,1.04214350e-01,6.20600444e-02,5.70260521e+00
33,1.94426091e+00,9.20838562e+01,1.00000001e-01,9.16026398e-02,5.84301608e-02,5.05925468e+00
34,2.33192380e+00,1.07853869e+02,1.00000001e-01,2.36333675e-01,9.35468949e-02,8.68886973e+00
35,2.24831981e+00,1.03046495e+02,1.00000001e-01,7.75075386e-02,5.30098892e-02,4.69802156e+00
36,1.95106446e+00,9.04968817e+01,1.00000001e-01,1.17690294e-01,6.72248734e-02,5.84379027e+00
37,2.11278663e+00,1.02526265e+02,1.00000001e-01,9.11313934e-02,5.80858585e-02,4.92060443e+00
38,2.04532448e+00,9.49939115e+01,1.00000001e-01,8.96510330e-02,5.61956207e-02,5.43058968e+00
39,2.05644873e+00,9.53806920e+01,1.00000001e-01,1.03703875e-01,6.13341928e-02,5.41880006e+00
40,1.87135978e+00,8.93159900e+01,1.00000001e-01,8.74030272e-02,5.71141945e-02,5.17624059e+00
41,1.71457713e+00,8.23470648e+01,1.00000001e-01,7.48266775e-02,5.23765537e-02,4.19456586e+00
42,1.76568097e+00,9.16338051e+01,1.00000001e-01,1.03542685e-01,6.19205724e-02,5.41878429e+00
43,2.17223787e+00,1.10125113e+02,1.00000001e-01,1.20993829e-01,6.64953260e-02,5.53400920e+00
44,2.20404405e+00,9.86216355e+01,1.00000001e-01,1.28531074e-01,6.90297129e-02,5.15752543e+00
45,1.66745211e+00,8.07454607e+01,1.00000001e-01,1.06507836e-01,6.43134269e-02,4.90052920e+00
46,1.66111114e+00,8.43540129e+01,1.00000001e-01,1.54018322e-01,7.56999888e-02,6.08484046e+00
47,1.75986656e+00,8.50041614e+01,1.00000001e-01,8.27734841e-02,5.56591007e-02,4.20572340e+00
48,1.48324234e+00,7.22985821e+01,1.00000001e-01,9.19694580e-02,5.88939694e-02,4.63966892e+00
49,1.70446050e+00,8.35272359e+01,1.00000001e-01,1.32500678e-01,7.16771483e-02,5.67312406e+00
50,1.77600431e+00,8.96726310e+01,1.00000001e-01,1.10004827e-01,6.45372180e-02,4.89014655e+00
51,1.59108775e+00,7.84435019e+01,1.00000001e-01,8.86202234e-02,5.77475291e-02,3.55531715e+00
52,1.65506631e+00,8.55148639e+01,1.00000001e-01,9.07022847e-02,5.70069076e-02,3.93643546e+00
53,1.36083685e+00,7.40846631e+01,1.00000001e-01,1.41864651e-01,7.25474300e-02,5.01232479e+00
54,1.76430815e+00,8.77047271e+01,1.00000001e-01,1.25213146e-01,6.89532923e-02,5.31391624e+00
