sample_idx,n_crystals,cx,cz,x_center,z_center,dist_center,mse_psi,relL2_psi
44,1,3.121466e-01,1.771116e-01,0.000000e+00,0.000000e+00,3.588928e-01,1.804764e-25,4.351655e-02
45,1,-8.069651e-02,-3.242204e-01,0.000000e+00,0.000000e+00,3.341119e-01,2.211519e-25,7.723342e-02
46,1,1.376842e-01,3.326218e-01,0.000000e+00,0.000000e+00,3.599920e-01,2.830947e-25,8.147792e-02
47,1,-3.369575e-01,-4.940252e-01,0.000000e+00,0.000000e+00,5.979977e-01,1.691447e-25,5.275600e-02
48,1,3.564142e-02,8.309048e-02,0.000000e+00,0.000000e+00,9.041205e-02,4.378318e-25,1.046014e-01
49,1,3.770975e-01,-7.477044e-01,0.000000e+00,0.000000e+00,8.374153e-01,2.745835e-25,1.254306e-01
50,1,-4.419590e-01,-2.861882e-01,0.000000e+00,0.000000e+00,5.265277e-01,3.736694e-25,5.277011e-02
51,1,7.729975e-01,4.367681e-02,0.000000e+00,0.000000e+00,7.742305e-01,1.946629e-25,2.330579e-02
52,1,-6.625893e-01,-1.665835e-01,0.000000e+00,0.000000e+00,6.832090e-01,4.840409e-25,4.195608e-02
53,1,-5.005898e-01,1.195432e-01,0.000000e+00,0.000000e+00,5.146656e-01,3.800418e-25,4.492578e-02
54,1,6.962961e-01,-4.163789e-01,0.000000e+00,0.000000e+00,8.112950e-01,1.575429e-25,2.816170e-02
55,1,-1.566026e-01,4.867852e-01,0.000000e+00,0.000000e+00,5.113552e-01,3.495663e-25,1.016368e-01
56,1,-7.990494e-01,7.174840e-01,0.000000e+00,0.000000e+00,1.073901e+00,2.476912e-25,6.718293e-02
57,1,-6.546185e-01,1.175357e-01,0.000000e+00,0.000000e+00,6.650865e-01,5.821433e-25,4.557312e-02
58,1,-8.431457e-02,-8.234178e-02,0.000000e+00,0.000000e+00,1.178521e-01,2.556013e-25,7.644401e-02
59,1,4.109524e-01,-1.915294e-01,0.000000e+00,0.000000e+00,4.533932e-01,1.860729e-25,3.714293e-02
60,1,-3.756011e-01,2.236510e-01,0.000000e+00,0.000000e+00,4.371452e-01,3.132573e-25,5.211374e-02
61,1,-2.740808e-01,7.014033e-01,0.000000e+00,0.000000e+00,7.530517e-01,3.245991e-25,1.307771e-01
62,1,-5.333024e-01,-5.329613e-01,0.000000e+00,0.000000e+00,7.539623e-01,3.465581e-25,5.968437e-02
63,1,-2.207167e-01,-1.086324e-01,0.000000e+00,0.000000e+00,2.460018e-01,2.199391e-25,5.643882e-02
64,1,-5.722238e-01,5.795793e-01,0.000000e+00,0.000000e+00,8.144644e-01,3.722537e-25,6.451401e-02
65,1,2.328529e-01,1.403998e-01,0.000000e+00,0.000000e+00,2.719055e-01,2.721241e-25,6.163942e-02
66,1,-6.043751e-01,8.736986e-02,0.000000e+00,0.000000e+00,6.106576e-01,4.923219e-25,4.407145e-02
67,1,-9.941420e-03,-3.662675e-01,0.000000e+00,0.000000e+00,3.664024e-01,3.730624e-25,1.076994e-01
68,1,-7.663873e-01,-2.205653e-01,0.000000e+00,0.000000e+00,7.974952e-01,6.246503e-25,4.450883e-02
69,1,-4.055619e-01,-3.371286e-01,0.000000e+00,0.000000e+00,5.273862e-01,3.335088e-25,5.511444e-02
70,1,2.643696e-01,-1.692581e-02,0.000000e+00,0.000000e+00,2.649108e-01,6.151330e-25,8.527269e-02
71,1,4.462870e-01,-3.834672e-01,0.000000e+00,0.000000e+00,5.884039e-01,1.706980e-25,3.863394e-02
72,1,1.248238e-01,-2.865185e-01,0.000000e+00,0.000000e+00,3.125281e-01,3.006456e-25,8.353848e-02
73,1,6.382913e-01,5.070005e-01,0.000000e+00,0.000000e+00,8.151474e-01,1.479946e-25,3.276766e-02
74,1,-9.308337e-02,4.721296e-01,0.000000e+00,0.000000e+00,4.812182e-01,2.955666e-25,9.976624e-02
75,1,4.970666e-01,-7.591483e-02,0.000000e+00,0.000000e+00,5.028302e-01,2.018917e-25,3.246471e-02
76,1,7.406796e-01,-2.137995e-01,0.000000e+00,0.000000e+00,7.709192e-01,1.454403e-25,2.183762e-02
77,1,-6.108118e-01,-5.279540e-01,0.000000e+00,0.000000e+00,8.073577e-01,4.875950e-25,6.376824e-02
78,1,5.682058e-01,-4.581660e-01,0.000000e+00,0.000000e+00,7.299136e-01,1.487948e-25,3.320553e-02
79,1,-7.527361e-01,1.078708e-01,0.000000e+00,0.000000e+00,7.604260e-01,5.907850e-25,4.183535e-02
80,1,-5.222555e-01,5.333394e-01,0.000000e+00,0.000000e+00,7.464595e-01,3.164539e-25,5.783468e-02
81,1,2.025645e-01,-7.338825e-01,0.000000e+00,0.000000e+00,7.613251e-01,1.974519e-25,1.301592e-01
82,1,-6.358180e-02,4.949042e-03,0.000000e+00,0.000000e+00,6.377412e-02,5.992623e-25,1.193816e-01
83,1,-3.184243e-01,-6.593442e-01,0.000000e+00,0.000000e+00,7.322082e-01,1.405722e-25,7.023076e-02
