epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,5.82458270e+01,1.16607687e+02,0.00000000e+00,4.79329914e+00,4.37447326e-01,3.99518320e+02
2,2.47925516e+01,7.23881858e+01,0.00000000e+00,3.14086102e+00,3.46925066e-01,4.73240671e+02
3,1.59339488e+01,6.08918687e+01,0.00000000e+00,2.44660217e+00,3.09313561e-01,4.51813958e+02
4,1.18195342e+01,5.04472241e+01,0.00000000e+00,1.54129029e+00,2.45830136e-01,5.69054436e+02
5,9.73082300e+00,4.50003759e+01,0.00000000e+00,9.97075003e-01,1.98872381e-01,5.38022287e+02
6,1.10978294e+01,4.35896007e+01,2.00000014e-02,9.83405072e-01,1.96483300e-01,7.62445051e+01
7,1.00720575e+01,4.16388224e+01,4.00000028e-02,7.03241536e-01,1.65026463e-01,4.40743036e+01
8,1.00761247e+01,4.20407513e+01,6.00000024e-02,7.52829258e-01,1.72235874e-01,5.80533796e+01
9,8.60996612e+00,3.75552532e+01,8.00000057e-02,9.40031969e-01,1.92028991e-01,3.59131875e+01
10,9.29757682e+00,4.19427506e+01,1.00000001e-01,7.40086129e-01,1.68721078e-01,3.23654795e+01
11,7.40843692e+00,3.46812986e+01,1.00000001e-01,5.45886425e-01,1.46008952e-01,2.18419826e+01
12,6.87024393e+00,3.27005755e+01,1.00000001e-01,7.37038560e-01,1.68834606e-01,2.41525534e+01
13,6.07603638e+00,3.06842265e+01,1.00000001e-01,5.63827765e-01,1.48643922e-01,2.88866222e+01
14,6.38077569e+00,3.05502499e+01,1.00000001e-01,4.99108606e-01,1.40944746e-01,1.93459484e+01
15,6.10059300e+00,3.10575361e+01,1.00000001e-01,3.66836080e-01,1.18887930e-01,1.59707537e+01
16,5.43452141e+00,2.66715337e+01,1.00000001e-01,2.78233208e-01,1.04806644e-01,1.38555647e+01
17,5.10808328e+00,2.72631121e+01,1.00000001e-01,9.91455546e-01,1.96222200e-01,3.34080045e+01
18,5.21026027e+00,2.48263715e+01,1.00000001e-01,5.56436954e-01,1.47919197e-01,1.69673344e+01
19,4.72369539e+00,2.48103414e+01,1.00000001e-01,3.75135799e-01,1.17756797e-01,1.38816969e+01
20,5.20098278e+00,2.66950308e+01,1.00000001e-01,3.55174083e-01,1.18337473e-01,1.41739250e+01
21,4.32123923e+00,2.19009440e+01,1.00000001e-01,4.72891113e-01,1.36790153e-01,1.28124489e+01
22,4.82728230e+00,2.42549101e+01,1.00000001e-01,2.59871391e-01,9.97897346e-02,1.24951941e+01
23,4.01619832e+00,2.14871384e+01,1.00000001e-01,2.54787030e-01,9.97052376e-02,1.19051533e+01
24,4.54732876e+00,2.34717612e+01,1.00000001e-01,3.64851796e-01,1.18053783e-01,1.39134750e+01
25,4.57670099e+00,2.34476155e+01,1.00000001e-01,4.12573356e-01,1.26580807e-01,1.34121001e+01
26,4.23947059e+00,2.17556671e+01,1.00000001e-01,6.25643606e-01,1.55667197e-01,1.74127954e+01
27,4.23249853e+00,2.18128951e+01,1.00000001e-01,3.69204001e-01,1.18877566e-01,1.19158741e+01
28,3.95624701e+00,1.97816139e+01,1.00000001e-01,2.47991003e-01,9.80415241e-02,8.87135905e+00
29,4.01528088e+00,2.05459648e+01,1.00000001e-01,3.19801106e-01,1.11125579e-01,1.14921274e+01
30,4.05234124e+00,2.06876386e+01,1.00000001e-01,1.79907185e-01,8.04238514e-02,8.78790712e+00
31,4.01469611e+00,1.98987832e+01,1.00000001e-01,8.74157199e-01,1.85838132e-01,2.48564587e+01
32,3.99866628e+00,2.07944089e+01,1.00000001e-01,4.09442796e-01,1.25876216e-01,1.33849590e+01
33,3.23787484e+00,1.68068462e+01,1.00000001e-01,2.03214248e-01,8.64889008e-02,7.17213290e+00
34,4.04192278e+00,2.02651025e+01,1.00000001e-01,2.24708240e-01,9.18596588e-02,9.64046823e+00
35,3.69230255e+00,1.87972039e+01,1.00000001e-01,1.91936244e-01,8.37655578e-02,7.61141047e+00
36,3.39859313e+00,1.78023264e+01,1.00000001e-01,3.57518829e-01,1.19200823e-01,1.29404486e+01
37,3.83810279e+00,1.90133216e+01,1.00000001e-01,1.51260140e-01,7.48145666e-02,6.84335661e+00
38,3.48938369e+00,1.75567085e+01,1.00000001e-01,1.94704639e-01,8.35347989e-02,7.64943809e+00
39,3.23692021e+00,1.70091390e+01,1.00000001e-01,2.64542954e-01,1.00706550e-01,9.67119840e+00
40,3.48679319e+00,1.78657576e+01,1.00000001e-01,2.33141826e-01,9.55867532e-02,9.36196250e+00
41,3.48457522e+00,1.83261249e+01,1.00000001e-01,2.18141767e-01,9.19515743e-02,9.53928474e+00
42,3.32831906e+00,1.71374110e+01,1.00000001e-01,2.79928737e-01,1.02765100e-01,1.00275620e+01
43,2.97865799e+00,1.60241281e+01,1.00000001e-01,2.12026946e-01,9.13560660e-02,6.61592927e+00
44,3.18210644e+00,1.65137842e+01,1.00000001e-01,2.88150885e-01,1.03848575e-01,1.18207478e+01
45,3.21117345e+00,1.62595512e+01,1.00000001e-01,2.68818252e-01,1.01808585e-01,1.07221299e+01
46,3.53212779e+00,1.71212231e+01,1.00000001e-01,2.18902123e-01,8.98955327e-02,7.67868889e+00
47,2.87495671e+00,1.51429413e+01,1.00000001e-01,1.91071906e-01,8.45959496e-02,6.89626210e+00
48,3.20701134e+00,1.62299967e+01,1.00000001e-01,3.13590648e-01,1.11130742e-01,1.23242210e+01
49,3.42120590e+00,1.66867654e+01,1.00000001e-01,2.63901677e-01,1.00130936e-01,9.52253114e+00
50,2.86480432e+00,1.49084463e+01,1.00000001e-01,4.51785218e-01,1.33389862e-01,1.25601105e+01
51,2.71452153e+00,1.42927443e+01,1.00000001e-01,1.75528573e-01,7.96972278e-02,7.36884326e+00
52,3.05304292e+00,1.59957017e+01,1.00000001e-01,2.15786497e-01,8.87961015e-02,6.92527309e+00
53,2.57047012e+00,1.42156768e+01,1.00000001e-01,1.47221049e-01,7.53049025e-02,7.10278599e+00
54,3.08520708e+00,1.59009337e+01,1.00000001e-01,3.91237743e-01,1.21999460e-01,1.19243925e+01
55,2.80237609e+00,1.44248902e+01,1.00000001e-01,2.19099157e-01,8.99658601e-02,8.09947194e+00
56,2.73526978e+00,1.42392800e+01,1.00000001e-01,1.82650418e-01,8.50860104e-02,7.59673240e+00
57,2.36692179e+00,1.33793821e+01,1.00000001e-01,1.06852856e-01,6.43586602e-02,4.73100759e+00
58,2.84983707e+00,1.55268621e+01,1.00000001e-01,2.06815118e-01,8.96442212e-02,8.67601200e+00
59,2.48108223e+00,1.40815527e+01,1.00000001e-01,1.90802153e-01,8.59676382e-02,6.37960383e+00
60,2.67742341e+00,1.39355946e+01,1.00000001e-01,3.23579552e-01,1.12068231e-01,9.78716344e+00
61,3.08624593e+00,1.58283806e+01,1.00000001e-01,1.31356406e-01,7.06396455e-02,6.29690504e+00
62,2.47472313e+00,1.39391483e+01,1.00000001e-01,2.11063932e-01,9.02090829e-02,8.75685850e+00
63,2.44945082e+00,1.37360153e+01,1.00000001e-01,1.72188723e-01,7.79712530e-02,6.01288983e+00
64,2.23373677e+00,1.32495197e+01,1.00000001e-01,1.30135971e-01,7.11689563e-02,5.74479261e+00
65,2.43545852e+00,1.36936604e+01,1.00000001e-01,1.74696073e-01,8.11811772e-02,6.25933200e+00
66,2.86816931e+00,1.54821713e+01,1.00000001e-01,2.93194985e-01,1.06180495e-01,9.09665075e+00
67,2.64177159e+00,1.44509742e+01,1.00000001e-01,3.01710263e-01,1.06983444e-01,1.02913049e+01
68,2.39539874e+00,1.31460070e+01,1.00000001e-01,1.85637455e-01,8.50551530e-02,6.16922492e+00
69,2.36379253e+00,1.34959480e+01,1.00000001e-01,2.25407078e-01,9.26364483e-02,7.06486317e+00
70,2.33276728e+00,1.31585710e+01,1.00000001e-01,1.40647169e-01,7.12035743e-02,5.40361186e+00
71,2.23662948e+00,1.27819852e+01,1.00000001e-01,1.69993136e-01,8.01572006e-02,7.26050969e+00
72,2.14591773e+00,1.24699724e+01,1.00000001e-01,1.11515812e-01,6.53407430e-02,5.18889290e+00
73,2.01465987e+00,1.19631331e+01,1.00000001e-01,1.13667316e-01,6.59640984e-02,4.60068607e+00
74,1.94502392e+00,1.20603903e+01,1.00000001e-01,1.93212566e-01,8.57560262e-02,6.25434575e+00
75,2.05824784e+00,1.17984754e+01,1.00000001e-01,1.01165528e-01,6.23250819e-02,4.43661831e+00
76,2.10477572e+00,1.19567242e+01,1.00000001e-01,2.17883791e-01,9.25569202e-02,6.83951022e+00
77,2.23755979e+00,1.29561102e+01,1.00000001e-01,1.41017533e-01,7.48229543e-02,5.36452462e+00
78,2.00479421e+00,1.23379373e+01,1.00000001e-01,4.83343663e-01,1.38528137e-01,1.08853817e+01
79,2.04934795e+00,1.25921197e+01,1.00000001e-01,2.08202081e-01,8.98352340e-02,5.82605859e+00
80,1.83185403e+00,1.14175150e+01,1.00000001e-01,1.46666953e-01,7.54491022e-02,5.78789223e+00
81,2.10722187e+00,1.22440645e+01,1.00000001e-01,9.98608060e-02,6.15364348e-02,4.80565135e+00
82,1.98810125e+00,1.21180778e+01,1.00000001e-01,8.12856707e-02,5.52002189e-02,3.73970037e+00
83,1.76940207e+00,1.14170476e+01,1.00000001e-01,1.92369371e-01,8.65505722e-02,6.12646050e+00
84,1.91932105e+00,1.10339845e+01,1.00000001e-01,1.21743962e-01,6.87482603e-02,4.37226527e+00
85,1.61656822e+00,1.06049400e+01,1.00000001e-01,1.33524083e-01,7.15588010e-02,4.06008665e+00
86,1.70681400e+00,1.02592747e+01,1.00000001e-01,1.37227654e-01,7.36983585e-02,5.28600165e+00
87,2.13390740e+00,1.24209934e+01,1.00000001e-01,1.35717962e-01,7.05686727e-02,6.69829077e+00
88,1.87637139e+00,1.09942590e+01,1.00000001e-01,1.36524556e-01,7.17361400e-02,5.27732888e+00
89,1.89932706e+00,1.19252839e+01,1.00000001e-01,7.84422366e-02,5.52024294e-02,4.15183410e+00
90,1.93125719e+00,1.25905001e+01,1.00000001e-01,1.26558527e-01,6.99181476e-02,5.35513955e+00
91,1.61357161e+00,9.80113202e+00,1.00000001e-01,1.41899761e-01,7.43264057e-02,4.64547794e+00
92,1.71695389e+00,1.09719447e+01,1.00000001e-01,1.77653851e-01,8.42699615e-02,6.73831056e+00
93,1.79072709e+00,1.14948000e+01,1.00000001e-01,1.17964722e-01,6.67651528e-02,4.93690804e+00
94,1.67216557e+00,1.04183668e+01,1.00000001e-01,9.13139198e-02,5.84922857e-02,3.67423774e+00
95,1.42587933e+00,9.40294718e+00,1.00000001e-01,1.27342304e-01,6.97637309e-02,4.12910953e+00
96,1.64509133e+00,1.04422134e+01,1.00000001e-01,1.22345768e-01,6.80107282e-02,4.76184084e+00
97,1.97135583e+00,1.21354458e+01,1.00000001e-01,1.30050072e-01,6.99672498e-02,4.12115132e+00
98,1.75853697e+00,1.10540656e+01,1.00000001e-01,2.21084065e-01,9.13380390e-02,7.29962114e+00
99,1.58060760e+00,9.71724648e+00,1.00000001e-01,9.69924187e-02,5.94434560e-02,4.27779051e+00
100,1.90907869e+00,1.21908115e+01,1.00000001e-01,9.53254637e-02,6.11010884e-02,4.14164134e+00
101,1.52438663e+00,1.03847272e+01,1.00000001e-01,9.68066119e-02,6.00231350e-02,3.66055483e+00
102,1.59038227e+00,1.01547032e+01,1.00000001e-01,8.26273575e-02,5.55519797e-02,3.36018865e+00
103,1.80010316e+00,1.12574743e+01,1.00000001e-01,8.50835382e-02,5.68786582e-02,3.62238981e+00
104,1.47424811e+00,9.60444521e+00,1.00000001e-01,1.47102995e-01,7.46870376e-02,4.63710249e+00
105,1.49423683e+00,9.69406980e+00,1.00000001e-01,7.46631445e-02,5.04257358e-02,3.15747582e+00
106,1.45332953e+00,9.58592054e+00,1.00000001e-01,1.35573867e-01,7.24145466e-02,4.89910669e+00
107,1.48502461e+00,9.50421960e+00,1.00000001e-01,1.20039044e-01,6.61159479e-02,4.83357486e+00
108,1.42368145e+00,8.88247057e+00,1.00000001e-01,5.96371012e-02,4.69545636e-02,2.67667667e+00
109,1.23068552e+00,8.56616668e+00,1.00000001e-01,8.47059649e-02,5.65142394e-02,3.02686785e+00
110,1.49129709e+00,9.83927199e+00,1.00000001e-01,1.24848102e-01,6.87776474e-02,4.14170071e+00
111,1.56222211e+00,9.78991364e+00,1.00000001e-01,9.07664462e-02,5.91635976e-02,3.31322831e+00
112,1.42482800e+00,9.39026437e+00,1.00000001e-01,1.25150905e-01,6.94558274e-02,3.74473467e+00
113,1.22213143e+00,8.69465431e+00,1.00000001e-01,8.98369021e-02,5.76983080e-02,3.56300624e+00
114,1.78968258e+00,1.14081735e+01,1.00000001e-01,1.34473432e-01,7.20326568e-02,5.03701744e+00
115,1.37700560e+00,9.11585850e+00,1.00000001e-01,1.09874877e-01,6.46162010e-02,4.48854595e+00
116,1.38267644e+00,9.09987691e+00,1.00000001e-01,1.24333999e-01,6.82081993e-02,4.95857716e+00
117,1.26408908e+00,8.99626332e+00,1.00000001e-01,7.24959110e-02,5.11946028e-02,3.47779597e+00
118,1.31204366e+00,9.16029857e+00,1.00000001e-01,1.07903924e-01,6.31438399e-02,4.62671958e+00
119,1.17769759e+00,8.01755141e+00,1.00000001e-01,8.59881874e-02,5.62687425e-02,3.41412170e+00
120,1.48678564e+00,1.01237925e+01,1.00000001e-01,1.22125394e-01,6.73334550e-02,5.26674837e+00
121,1.37448591e+00,8.60589597e+00,1.00000001e-01,8.96273980e-02,5.70506342e-02,3.38827455e+00
122,1.17723072e+00,7.93615353e+00,1.00000001e-01,9.81556120e-02,6.13892408e-02,3.53736523e+00
123,1.29543651e+00,8.92288644e+00,1.00000001e-01,1.54417789e-01,7.73934407e-02,5.99284891e+00
124,1.58668548e+00,9.96446819e+00,1.00000001e-01,7.52745225e-02,5.31995918e-02,3.35921465e+00
125,1.25812336e+00,8.89287283e+00,1.00000001e-01,8.16640031e-02,5.57181594e-02,3.48949623e+00
126,1.32274605e+00,8.59342757e+00,1.00000001e-01,9.10208377e-02,5.88284419e-02,3.49847205e+00
127,1.14405100e+00,8.21261772e+00,1.00000001e-01,7.70022024e-02,5.47280756e-02,3.15150067e+00
128,1.12184653e+00,7.71282426e+00,1.00000001e-01,8.83050753e-02,5.71122410e-02,3.58862807e+00
129,1.41037993e+00,9.82737045e+00,1.00000001e-01,4.23027577e-02,3.96548538e-02,2.32100815e+00
130,1.18082682e+00,8.21927456e+00,1.00000001e-01,1.48254270e-01,7.48163212e-02,5.45967318e+00
131,1.16405730e+00,7.66689644e+00,1.00000001e-01,1.49800650e-01,7.59669227e-02,4.68525626e+00
132,1.45350525e+00,9.40566574e+00,1.00000001e-01,7.68728050e-02,5.43029664e-02,3.83879552e+00
133,1.15446080e+00,7.94342775e+00,1.00000001e-01,8.33341304e-02,5.68207230e-02,3.55287126e+00
134,1.04610017e+00,7.52349712e+00,1.00000001e-01,7.45466157e-02,5.33159630e-02,2.97069007e+00
135,1.09769730e+00,7.38190992e+00,1.00000001e-01,6.66293296e-02,5.02586454e-02,3.12487516e+00
136,1.12554822e+00,7.20116472e+00,1.00000001e-01,6.02185748e-02,4.84603360e-02,2.64511350e+00
137,1.16250424e+00,8.22742156e+00,1.00000001e-01,1.08211792e-01,6.47525068e-02,4.04613117e+00
138,1.17794605e+00,8.36258320e+00,1.00000001e-01,5.86166740e-02,4.68799650e-02,2.56443292e+00
