sample_idx,crystal_idx,n_crystals,cx,cz,x_center,z_center,dist_center,dist_corner_1,dist_corner_2,dist_corner_3,dist_corner_4,mse_psi,relL2_psi
33,1,1,5.669856e-01,6.208203e-01,0.000000e+00,0.000000e+00,8.407678e-01,2.254441e+00,1.677665e+00,1.612210e+00,5.755681e-01,2.160555e-25,5.448646e-02
34,1,1,-3.394081e-01,-1.079480e-01,0.000000e+00,0.000000e+00,3.561609e-01,1.110017e+00,1.609276e+00,1.289934e+00,1.738264e+00,3.027796e-25,5.243168e-02
35,1,1,1.514871e-01,7.958369e-01,0.000000e+00,0.000000e+00,8.101263e-01,2.133296e+00,1.986203e+00,1.169447e+00,8.727294e-01,4.727844e-25,3.052031e-01
36,1,1,-1.630537e-01,-2.129659e-01,0.000000e+00,0.000000e+00,2.682182e-01,1.148870e+00,1.404321e+00,1.473691e+00,1.680470e+00,2.030220e-25,6.247039e-02
37,1,1,-7.393620e-01,1.740793e-01,0.000000e+00,0.000000e+00,7.595787e-01,1.202661e+00,2.098533e+00,8.660699e-01,1.925494e+00,6.512713e-25,4.538983e-02
38,1,1,-6.060599e-01,3.872778e-01,0.000000e+00,0.000000e+00,7.192306e-01,1.442126e+00,2.122255e+00,7.284348e-01,1.718970e+00,4.077870e-25,4.802600e-02
39,1,1,6.380983e-02,-3.965448e-01,0.000000e+00,0.000000e+00,4.016460e-01,1.223049e+00,1.113827e+00,1.755571e+00,1.681306e+00,3.943775e-25,1.104129e-01
40,1,1,6.110357e-01,7.596784e-01,0.000000e+00,0.000000e+00,9.749235e-01,2.385771e+00,1.802155e+00,1.628862e+00,4.572173e-01,3.405279e-25,1.084359e-01
41,1,1,-3.404734e-01,3.176464e-01,0.000000e+00,0.000000e+00,4.656408e-01,1.473488e+00,1.879644e+00,9.489899e-01,1.504153e+00,2.329988e-25,5.076372e-02
42,1,1,4.488685e-01,-2.158883e-01,0.000000e+00,0.000000e+00,4.980871e-01,1.647438e+00,9.584242e-01,1.891456e+00,1.334965e+00,1.754098e-25,3.431269e-02
43,1,1,6.975007e-02,3.311280e-01,0.000000e+00,0.000000e+00,3.383945e-01,1.707708e+00,1.623966e+00,1.261648e+00,1.145755e+00,4.134308e-25,1.075050e-01
44,1,1,3.121466e-01,1.771116e-01,0.000000e+00,0.000000e+00,3.588928e-01,1.762759e+00,1.363354e+00,1.548830e+00,1.072515e+00,1.804719e-25,4.351600e-02
45,1,1,-8.069651e-02,-3.242204e-01,0.000000e+00,0.000000e+00,3.341119e-01,1.140963e+00,1.274591e+00,1.612042e+00,1.709229e+00,2.203971e-25,7.710152e-02
46,1,1,1.376842e-01,3.326218e-01,0.000000e+00,0.000000e+00,3.599920e-01,1.752200e+00,1.587284e+00,1.318984e+00,1.090405e+00,2.839344e-25,8.159867e-02
