mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.405276,0.02130426,4.81,1.0,0.593553,5,0.239,1,0.5743,0.539,0.518545,0.1545,2025-09-07T09:50:27.798,0.461911
0.405276,0.02130426,4.81,1.0,0.593553,5,0.239,2,0.5743,0.513,0.518545,0.1545,2025-09-07T09:50:39.778,0.461911
0.405276,0.02130426,4.81,1.0,0.593553,5,0.239,3,0.5743,0.583,0.518545,0.1545,2025-09-07T09:50:52.783,0.461911
0.405276,0.02130426,4.81,1.0,0.593553,5,0.239,4,0.5743,0.993,0.518545,0.1545,2025-09-07T09:51:06.448,0.461911
0.405276,0.02130426,4.81,1.0,0.593553,5,0.239,5,0.5743,0.555,0.518545,0.1545,2025-09-07T09:51:19.913,0.461911
0.306037,0.02107463,0.85,1.0,0.46556,4,0.074,1,0.6233,1.05,0.364128,0.1861,2025-09-07T09:49:22.187,0.335083
0.306037,0.02107463,0.85,1.0,0.46556,4,0.074,2,0.6233,0.531,0.364128,0.1861,2025-09-07T09:49:34.247,0.335083
0.306037,0.02107463,0.85,1.0,0.46556,4,0.074,3,0.6233,0.558,0.364128,0.1861,2025-09-07T09:49:47.659,0.335083
0.306037,0.02107463,0.85,1.0,0.46556,4,0.074,4,0.6233,0.903,0.364128,0.1861,2025-09-07T09:50:01.338,0.335083
0.306037,0.02107463,0.85,1.0,0.46556,4,0.074,5,0.6233,0.6,0.364128,0.1861,2025-09-07T09:50:15.171,0.335083
0.635541,0.01960716,10.17,1.0,0.811779,6,0.601,1,0.4987,0.938,0.650505,0.1193,2025-09-07T09:51:34.135,0.643023
0.635541,0.01960716,10.17,1.0,0.811779,6,0.601,2,0.4987,0.583,0.650505,0.1193,2025-09-07T09:51:47.654,0.643023
0.635541,0.01960716,10.17,1.0,0.811779,6,0.601,3,0.4987,0.587,0.650505,0.1193,2025-09-07T09:52:01.261,0.643023
0.635541,0.01960716,10.17,1.0,0.811779,6,0.601,4,0.4987,1.085,0.650505,0.1193,2025-09-07T09:52:14.499,0.643023
0.635541,0.01960716,10.17,1.0,0.811779,6,0.601,5,0.4987,0.541,0.650505,0.1193,2025-09-07T09:52:28.285,0.643023
0.730147,0.01987432,34.89,1.0,0.8749,7,0.961,1,0.4212,0.935,0.614305,0.135,2025-09-07T09:52:42.353,0.672226
0.730147,0.01987432,34.89,1.0,0.8749,7,0.961,2,0.4212,0.559,0.614305,0.135,2025-09-07T09:52:55.016,0.672226
0.730147,0.01987432,34.89,1.0,0.8749,7,0.961,3,0.4212,0.65,0.614305,0.135,2025-09-07T09:53:07.518,0.672226
0.730147,0.01987432,34.89,1.0,0.8749,7,0.961,4,0.4212,0.549,0.614305,0.135,2025-09-07T09:53:20.971,0.672226
0.730147,0.01987432,34.89,1.0,0.8749,7,0.961,5,0.4212,0.574,0.614305,0.135,2025-09-07T09:53:34.473,0.672226
0.688886,0.01482168,1.21,1.0,0.794968,2,0.043,1,0.3014,1.125,0.630102,0.0249,2025-09-07T09:47:11.057,0.659494
0.688886,0.01482168,1.21,1.0,0.794968,2,0.043,2,0.3014,0.645,0.630102,0.0249,2025-09-07T09:47:24.699,0.659494
0.688886,0.01482168,1.21,1.0,0.794968,2,0.043,3,0.3014,0.873,0.630102,0.0249,2025-09-07T09:47:36.942,0.659494
0.688886,0.01482168,1.21,1.0,0.794968,2,0.043,4,0.3014,0.649,0.630102,0.0249,2025-09-07T09:47:50.419,0.659494
0.688886,0.01482168,1.21,1.0,0.794968,2,0.043,5,0.3014,0.91,0.630102,0.0249,2025-09-07T09:48:04.467,0.659494
0.637507,0.01476132,23.06,1.0,0.805609,10,1.924,1,0.581,0.543,0.553234,0.2005,2025-09-07T09:56:04.778,0.59537
0.637507,0.01476132,23.06,1.0,0.805609,10,1.924,2,0.581,0.55,0.553234,0.2005,2025-09-07T09:56:19.118,0.59537
0.637507,0.01476132,23.06,1.0,0.805609,10,1.924,3,0.581,0.543,0.553234,0.2005,2025-09-07T09:56:31.625,0.59537
0.637507,0.01476132,23.06,1.0,0.805609,10,1.924,4,0.581,0.558,0.553234,0.2005,2025-09-07T09:56:44.928,0.59537
0.637507,0.01476132,23.06,1.0,0.805609,10,1.924,5,0.581,0.525,0.553234,0.2005,2025-09-07T09:56:58.748,0.59537
0.557212,0.01710787,27.19,1.0,0.731773,9,1.304,1,0.579,0.564,0.513122,0.1989,2025-09-07T09:54:56.476,0.535167
0.557212,0.01710787,27.19,1.0,0.731773,9,1.304,2,0.579,0.561,0.513122,0.1989,2025-09-07T09:55:10.513,0.535167
0.557212,0.01710787,27.19,1.0,0.731773,9,1.304,3,0.579,0.546,0.513122,0.1989,2025-09-07T09:55:23.886,0.535167
0.557212,0.01710787,27.19,1.0,0.731773,9,1.304,4,0.579,0.534,0.513122,0.1989,2025-09-07T09:55:37.267,0.535167
0.557212,0.01710787,27.19,1.0,0.731773,9,1.304,5,0.579,0.543,0.513122,0.1989,2025-09-07T09:55:50.725,0.535167
0.571779,0.01930986,49.08,1.0,0.729479,8,1.005,1,0.5227,0.529,0.483021,0.1716,2025-09-07T09:53:48.337,0.5274
0.571779,0.01930986,49.08,1.0,0.729479,8,1.005,2,0.5227,1.055,0.483021,0.1716,2025-09-07T09:54:01.763,0.5274
0.571779,0.01930986,49.08,1.0,0.729479,8,1.005,3,0.5227,0.575,0.483021,0.1716,2025-09-07T09:54:15.632,0.5274
0.571779,0.01930986,49.08,1.0,0.729479,8,1.005,4,0.5227,0.537,0.483021,0.1716,2025-09-07T09:54:28.993,0.5274
