epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,1.67947854e+02,7.47628691e+02,0.00000000e+00,7.84035769e+00,5.11816295e-01,4.07909925e+02
2,1.13603824e+02,6.17997981e+02,0.00000000e+00,6.78563593e+00,4.75545630e-01,4.77928582e+02
3,1.00646887e+02,6.26264046e+02,0.00000000e+00,6.57704299e+00,4.65696968e-01,5.29775975e+02
4,9.44653330e+01,6.20546927e+02,0.00000000e+00,6.25401820e+00,4.51469698e-01,5.34501513e+02
5,8.72282276e+01,6.17849685e+02,0.00000000e+00,5.20773023e+00,4.11541597e-01,5.45721478e+02
6,8.57857149e+01,6.04466595e+02,2.00000014e-02,5.09497406e+00,4.04921782e-01,1.63973179e+02
7,8.23462037e+01,6.25744567e+02,4.00000028e-02,4.77144497e+00,3.88354025e-01,1.38411771e+02
8,8.17030603e+01,6.34962350e+02,6.00000024e-02,4.37578876e+00,3.73133403e-01,1.20516042e+02
9,8.00963997e+01,6.63541942e+02,8.00000057e-02,4.77501943e+00,3.87982694e-01,1.13786823e+02
10,7.95293841e+01,6.88934971e+02,1.00000001e-01,4.21114215e+00,3.64149638e-01,9.98749474e+01
11,7.59985451e+01,6.76264302e+02,1.00000001e-01,4.03374420e+00,3.51659853e-01,9.95162179e+01
12,7.39256460e+01,6.68886063e+02,1.00000001e-01,4.24976948e+00,3.63085011e-01,1.07262452e+02
13,7.17294502e+01,6.68140482e+02,1.00000001e-01,3.78109887e+00,3.39888964e-01,9.88027815e+01
14,7.02115638e+01,6.98930855e+02,1.00000001e-01,3.87797889e+00,3.46512041e-01,9.42839282e+01
15,6.88959162e+01,6.90202179e+02,1.00000001e-01,3.69638738e+00,3.34513678e-01,9.08149151e+01
16,6.68479748e+01,6.86763976e+02,1.00000001e-01,3.88248411e+00,3.44804782e-01,9.31249024e+01
17,6.46342964e+01,6.83704247e+02,1.00000001e-01,3.84076781e+00,3.44082057e-01,8.75325786e+01
18,6.34365672e+01,6.72719368e+02,1.00000001e-01,4.00063955e+00,3.50101023e-01,1.04030396e+02
19,6.25101689e+01,7.24539640e+02,1.00000001e-01,3.93891119e+00,3.47493718e-01,9.20550188e+01
20,6.11447953e+01,7.28704235e+02,1.00000001e-01,4.22713307e+00,3.61572776e-01,9.40490497e+01
21,5.90269925e+01,7.16895856e+02,1.00000001e-01,3.84876930e+00,3.44258036e-01,9.37016241e+01
22,5.79222662e+01,7.49346443e+02,1.00000001e-01,3.75764297e+00,3.38063467e-01,9.22045451e+01
23,5.69529298e+01,7.63904800e+02,1.00000001e-01,3.89153110e+00,3.43446272e-01,9.12574669e+01
24,5.41861599e+01,7.24186166e+02,1.00000001e-01,3.95113854e+00,3.46855102e-01,1.00114404e+02
25,5.22888468e+01,7.66077905e+02,1.00000001e-01,3.85843854e+00,3.43235246e-01,9.36550627e+01
26,5.01632679e+01,7.68856479e+02,1.00000001e-01,3.67054885e+00,3.28035062e-01,9.04923477e+01
27,4.82565940e+01,7.90349831e+02,1.00000001e-01,3.92885613e+00,3.42850798e-01,9.64275097e+01
28,4.65522877e+01,7.84185753e+02,1.00000001e-01,3.96737729e+00,3.49551161e-01,9.07172053e+01
29,4.31631315e+01,7.76323173e+02,1.00000001e-01,4.00077000e+00,3.49262451e-01,9.53735518e+01
30,4.17181978e+01,7.77305143e+02,1.00000001e-01,4.13152704e+00,3.49151123e-01,9.53100513e+01
31,3.96178844e+01,7.49609473e+02,1.00000001e-01,3.82389798e+00,3.38723004e-01,9.13348193e+01
32,3.75372327e+01,7.40019256e+02,1.00000001e-01,4.58036230e+00,3.70259631e-01,1.03379113e+02
33,3.53199324e+01,7.49578903e+02,1.00000001e-01,4.46494577e+00,3.63939937e-01,1.05187011e+02
34,3.39573161e+01,7.26753640e+02,1.00000001e-01,4.04461855e+00,3.48363524e-01,8.98701936e+01
35,3.20212930e+01,7.13172164e+02,1.00000001e-01,4.39481538e+00,3.66570332e-01,1.02219652e+02
36,3.07557729e+01,7.10761053e+02,1.00000001e-01,4.73169660e+00,3.77722017e-01,1.02030680e+02
37,2.92716135e+01,6.75151992e+02,1.00000001e-01,4.24942428e+00,3.57894123e-01,9.27639749e+01
38,2.73120805e+01,6.55151846e+02,1.00000001e-01,4.35347627e+00,3.61675107e-01,9.64756454e+01
39,2.63013860e+01,6.31022697e+02,1.00000001e-01,4.01855138e+00,3.49071234e-01,8.81851645e+01
40,2.56179836e+01,6.35747240e+02,1.00000001e-01,4.71131991e+00,3.75419692e-01,9.35400301e+01
41,2.45883747e+01,6.24317560e+02,1.00000001e-01,4.57572424e+00,3.71004545e-01,1.00606353e+02
42,2.38557082e+01,6.41939676e+02,1.00000001e-01,5.74867369e+00,4.20409238e-01,1.10807648e+02
43,2.27168656e+01,6.03155552e+02,1.00000001e-01,4.17913946e+00,3.57199841e-01,8.74643345e+01
44,2.17305877e+01,5.88263058e+02,1.00000001e-01,4.30751335e+00,3.60857360e-01,9.66609289e+01
45,2.10158619e+01,5.83826025e+02,1.00000001e-01,4.68220226e+00,3.75442227e-01,9.38489004e+01
46,2.01623115e+01,5.65222391e+02,1.00000001e-01,4.32905168e+00,3.59599707e-01,9.13052607e+01
47,1.95869032e+01,5.64770926e+02,1.00000001e-01,4.36597386e+00,3.62738623e-01,8.89893880e+01
48,1.90737408e+01,5.69308777e+02,1.00000001e-01,4.23760727e+00,3.55290987e-01,9.09201150e+01
49,1.84100138e+01,5.33216037e+02,1.00000001e-01,4.65608264e+00,3.78312611e-01,9.34478621e+01
50,1.80169619e+01,5.50085092e+02,1.00000001e-01,4.28594087e+00,3.60583091e-01,9.01359550e+01
51,1.76740717e+01,5.30645309e+02,1.00000001e-01,4.45141729e+00,3.63954681e-01,9.05384073e+01
52,1.69057244e+01,5.22178079e+02,1.00000001e-01,4.12672624e+00,3.53959508e-01,8.84796548e+01
53,1.65652504e+01,5.22987320e+02,1.00000001e-01,5.25903197e+00,3.99921034e-01,9.87639393e+01
54,1.59686039e+01,5.10280465e+02,1.00000001e-01,4.22468346e+00,3.57919497e-01,8.52012221e+01
55,1.53565800e+01,5.02838850e+02,1.00000001e-01,4.55203350e+00,3.75052262e-01,8.90952176e+01
56,1.51722525e+01,5.04030075e+02,1.00000001e-01,4.11814548e+00,3.49004782e-01,8.53421043e+01
57,1.45801123e+01,4.80052989e+02,1.00000001e-01,4.17448464e+00,3.53748504e-01,8.53779978e+01
58,1.45267939e+01,4.93522957e+02,1.00000001e-01,4.48399851e+00,3.67175095e-01,8.72227393e+01
59,1.40158686e+01,4.78544610e+02,1.00000001e-01,4.26180596e+00,3.56111761e-01,8.24579219e+01
60,1.39823966e+01,4.98145801e+02,1.00000001e-01,4.44197484e+00,3.66727307e-01,8.69691843e+01
61,1.34244075e+01,4.64209826e+02,1.00000001e-01,4.23293525e+00,3.55046024e-01,8.74638728e+01
62,1.29695908e+01,4.65374223e+02,1.00000001e-01,4.14105510e+00,3.54848521e-01,8.37438529e+01
63,1.28457323e+01,4.57722692e+02,1.00000001e-01,4.12445351e+00,3.52773828e-01,8.27317644e+01
64,1.23625953e+01,4.55741873e+02,1.00000001e-01,4.55404787e+00,3.72200302e-01,8.72255831e+01
65,1.22998126e+01,4.58583126e+02,1.00000001e-01,4.08106784e+00,3.52315522e-01,8.11786518e+01
66,1.20228257e+01,4.39604178e+02,1.00000001e-01,4.50108065e+00,3.65697379e-01,8.66200304e+01
67,1.17278834e+01,4.48146328e+02,1.00000001e-01,4.09546372e+00,3.50450057e-01,8.20613760e+01
68,1.15986915e+01,4.32424116e+02,1.00000001e-01,4.21667761e+00,3.54340269e-01,8.51100374e+01
69,1.13564751e+01,4.20713178e+02,1.00000001e-01,4.54496043e+00,3.74009982e-01,8.49254190e+01
70,1.10032251e+01,4.18070683e+02,1.00000001e-01,4.32684278e+00,3.58084004e-01,8.49174010e+01
71,1.10397661e+01,4.33294820e+02,1.00000001e-01,4.50218876e+00,3.67375000e-01,8.41539289e+01
72,1.07431385e+01,4.27171493e+02,1.00000001e-01,4.46980295e+00,3.67460907e-01,8.67415631e+01
73,1.04092867e+01,3.97585769e+02,1.00000001e-01,4.09649098e+00,3.48615336e-01,7.95941184e+01
74,1.03043741e+01,4.07735946e+02,1.00000001e-01,4.73576107e+00,3.80287182e-01,9.07915592e+01
75,1.04651416e+01,4.04998706e+02,1.00000001e-01,4.17428556e+00,3.52037973e-01,7.89904062e+01
76,9.98334717e+00,4.05170765e+02,1.00000001e-01,4.27187464e+00,3.57483361e-01,8.55184511e+01
77,9.73805696e+00,3.84070059e+02,1.00000001e-01,4.08519651e+00,3.49549595e-01,7.83316399e+01
78,9.39874040e+00,3.76979678e+02,1.00000001e-01,4.16421257e+00,3.55659173e-01,8.28267095e+01
79,9.39455422e+00,3.85621948e+02,1.00000001e-01,4.29273615e+00,3.58480088e-01,8.09110906e+01
80,9.17281027e+00,3.72020527e+02,1.00000001e-01,4.27654132e+00,3.57337800e-01,8.02058352e+01
81,9.20903858e+00,3.78287161e+02,1.00000001e-01,4.17056473e+00,3.52626712e-01,7.66659460e+01
82,9.03773822e+00,3.71339776e+02,1.00000001e-01,4.19828021e+00,3.53471675e-01,8.12142271e+01
83,8.80877269e+00,3.58733793e+02,1.00000001e-01,4.07901593e+00,3.45824107e-01,7.61977084e+01
84,8.65921638e+00,3.49901601e+02,1.00000001e-01,4.54435705e+00,3.72974934e-01,8.29263990e+01
85,8.35214678e+00,3.54774040e+02,1.00000001e-01,4.11613613e+00,3.49655286e-01,8.09324308e+01
86,8.32926006e+00,3.52208160e+02,1.00000001e-01,4.09312237e+00,3.47902871e-01,8.19110156e+01
87,8.18680906e+00,3.46536857e+02,1.00000001e-01,4.40416040e+00,3.63133447e-01,8.30171713e+01
88,8.33538448e+00,3.50617226e+02,1.00000001e-01,4.35284210e+00,3.62188136e-01,8.25044299e+01
89,8.13734535e+00,3.41917497e+02,1.00000001e-01,4.10901193e+00,3.52129382e-01,7.69074382e+01
90,7.83150704e+00,3.39278073e+02,1.00000001e-01,4.60941640e+00,3.73631591e-01,8.20970694e+01
91,7.68965682e+00,3.26453059e+02,1.00000001e-01,4.03526350e+00,3.46778082e-01,7.83453894e+01
92,8.00177331e+00,3.43933885e+02,1.00000001e-01,4.45983238e+00,3.64309958e-01,8.19508284e+01
93,7.81579335e+00,3.42437772e+02,1.00000001e-01,4.08665175e+00,3.49592187e-01,7.60541313e+01
