epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,1.66110401e+02,6.47764891e+02,0.00000000e+00,7.94848837e+00,5.16214029e-01,3.47622102e+02
2,1.16274310e+02,5.67279724e+02,0.00000000e+00,7.07008777e+00,4.84417128e-01,3.39425014e+02
3,1.04363730e+02,5.59410677e+02,0.00000000e+00,6.53177513e+00,4.65878790e-01,5.30092911e+02
4,9.50868843e+01,5.56829051e+02,0.00000000e+00,5.79951164e+00,4.36498597e-01,5.21168220e+02
5,8.83100008e+01,5.63494805e+02,0.00000000e+00,5.67100712e+00,4.32349216e-01,5.93912392e+02
6,8.77004176e+01,5.46862733e+02,2.00000014e-02,4.81288672e+00,3.96502918e-01,1.69123214e+02
7,8.52365418e+01,5.41490396e+02,4.00000028e-02,4.38624248e+00,3.76999361e-01,1.31258241e+02
8,8.38403426e+01,5.41244197e+02,6.00000024e-02,4.03958824e+00,3.60601740e-01,1.02034569e+02
9,8.41692719e+01,5.38506545e+02,8.00000057e-02,4.55188590e+00,3.82678579e-01,1.10217585e+02
10,8.25830471e+01,5.20309732e+02,1.00000001e-01,4.23818374e+00,3.70423436e-01,1.01677896e+02
11,8.05497819e+01,5.12489253e+02,1.00000001e-01,3.88751971e+00,3.50359147e-01,9.21577136e+01
12,7.84332984e+01,5.27579984e+02,1.00000001e-01,3.94866613e+00,3.49656685e-01,9.70832912e+01
13,7.66638090e+01,5.07714647e+02,1.00000001e-01,3.92409560e+00,3.52577834e-01,9.61063874e+01
14,7.51841293e+01,5.06408768e+02,1.00000001e-01,3.63676983e+00,3.36041467e-01,8.81902317e+01
15,7.30952714e+01,4.90676868e+02,1.00000001e-01,3.63494014e+00,3.40940087e-01,8.88284713e+01
16,7.18843085e+01,4.98313124e+02,1.00000001e-01,3.63903942e+00,3.37336463e-01,8.75260339e+01
17,7.04982446e+01,4.91281328e+02,1.00000001e-01,3.97175535e+00,3.53843614e-01,9.72733911e+01
18,6.95657041e+01,4.75280679e+02,1.00000001e-01,3.36894657e+00,3.25013855e-01,8.42371619e+01
19,6.81827362e+01,4.91477470e+02,1.00000001e-01,3.56667140e+00,3.31450893e-01,8.49661842e+01
20,6.67352648e+01,4.90111361e+02,1.00000001e-01,3.82915133e+00,3.48126912e-01,9.13848268e+01
21,6.64407615e+01,4.98197356e+02,1.00000001e-01,3.36806934e+00,3.27525472e-01,8.38003213e+01
22,6.46759339e+01,4.85734763e+02,1.00000001e-01,3.33915699e+00,3.21526780e-01,8.28547237e+01
23,6.34162667e+01,4.82979537e+02,1.00000001e-01,3.47046421e+00,3.29146933e-01,8.55784730e+01
24,6.20782905e+01,4.94659025e+02,1.00000001e-01,3.54605291e+00,3.34309775e-01,8.49826513e+01
25,6.07108926e+01,4.95620225e+02,1.00000001e-01,3.26202432e+00,3.16572461e-01,8.57859125e+01
26,5.89305928e+01,4.88393491e+02,1.00000001e-01,3.58503518e+00,3.36955945e-01,1.01447951e+02
27,5.83638689e+01,5.20318072e+02,1.00000001e-01,4.06415072e+00,3.53935983e-01,9.65070359e+01
28,5.59907612e+01,4.93662348e+02,1.00000001e-01,3.46966697e+00,3.29118832e-01,9.01052701e+01
29,5.48306959e+01,5.23080736e+02,1.00000001e-01,3.46556381e+00,3.27718368e-01,8.88921868e+01
30,5.29306389e+01,5.08005648e+02,1.00000001e-01,3.46280773e+00,3.29071948e-01,8.96863152e+01
31,5.02123773e+01,5.08602121e+02,1.00000001e-01,3.38848459e+00,3.24490287e-01,9.14085737e+01
32,4.84425596e+01,5.02197758e+02,1.00000001e-01,3.79288101e+00,3.42667083e-01,9.65469308e+01
33,4.68741169e+01,5.17433402e+02,1.00000001e-01,3.48596982e+00,3.26424024e-01,8.82751619e+01
34,4.41243746e+01,5.13557813e+02,1.00000001e-01,3.58774885e+00,3.32607867e-01,9.27611832e+01
35,4.26847055e+01,5.14699913e+02,1.00000001e-01,4.17083125e+00,3.60381373e-01,9.27690037e+01
36,4.04485731e+01,5.10910708e+02,1.00000001e-01,3.74073178e+00,3.34739962e-01,9.04504588e+01
37,3.84256450e+01,5.02720776e+02,1.00000001e-01,3.62231695e+00,3.34239956e-01,8.87683989e+01
38,3.67805661e+01,5.06446722e+02,1.00000001e-01,4.00898729e+00,3.51353806e-01,9.46238257e+01
39,3.51059904e+01,4.91482178e+02,1.00000001e-01,3.36054420e+00,3.18293632e-01,7.97322991e+01
40,3.35459159e+01,4.90551978e+02,1.00000001e-01,3.57061450e+00,3.32941758e-01,9.04805287e+01
