epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,1.97521749e+02,5.93308102e+02,0.00000000e+00,4.64906696e+00,4.30657370e-01,3.67342272e+02
2,6.84428013e+01,4.28297222e+02,0.00000000e+00,2.92319407e+00,3.42066203e-01,4.52695500e+02
3,4.69353304e+01,3.71112170e+02,0.00000000e+00,2.13089248e+00,2.92463545e-01,5.17256178e+02
4,3.58644188e+01,3.47036047e+02,0.00000000e+00,1.71263133e+00,2.61028234e-01,7.06871722e+02
5,2.77329243e+01,2.99780612e+02,0.00000000e+00,1.55185722e+00,2.47034907e-01,7.59397548e+02
6,3.14729858e+01,3.00770098e+02,2.00000014e-02,1.34864351e+00,2.32098160e-01,2.70510993e+02
7,2.71691743e+01,2.89197881e+02,4.00000028e-02,1.06063068e+00,2.04003096e-01,1.11205693e+02
8,2.28491356e+01,2.93282668e+02,6.00000024e-02,8.22320495e-01,1.78656161e-01,5.66157466e+01
9,1.88836522e+01,2.94331427e+02,8.00000057e-02,7.72303138e-01,1.74442898e-01,4.45176037e+01
10,1.68813175e+01,2.89554988e+02,1.00000001e-01,5.77142779e-01,1.49974825e-01,3.79727459e+01
11,1.33736990e+01,2.45793448e+02,1.00000001e-01,6.36220051e-01,1.57490918e-01,3.02586049e+01
12,1.14931764e+01,2.56370073e+02,1.00000001e-01,2.41043425e-01,9.68911318e-02,2.25988857e+01
13,9.37151349e+00,2.27794063e+02,1.00000001e-01,3.06738819e-01,1.08970601e-01,2.14704606e+01
14,9.18896671e+00,2.37948665e+02,1.00000001e-01,2.64022465e-01,9.97579289e-02,1.89409853e+01
15,7.70398703e+00,2.03299701e+02,1.00000001e-01,1.76528633e-01,8.22066548e-02,1.74554315e+01
16,7.66156871e+00,2.29144358e+02,1.00000001e-01,2.11133605e-01,8.93436995e-02,1.77482818e+01
17,7.94585594e+00,2.34106723e+02,1.00000001e-01,1.88367150e-01,8.46452346e-02,1.56240474e+01
18,6.52161417e+00,2.09075926e+02,1.00000001e-01,1.37259460e-01,7.27785118e-02,1.45604071e+01
19,5.68815450e+00,1.77398957e+02,1.00000001e-01,1.43909687e-01,7.40822123e-02,1.35410644e+01
20,6.15966989e+00,1.92870467e+02,1.00000001e-01,1.52116724e-01,7.60862481e-02,1.40384310e+01
21,5.38399470e+00,1.84826223e+02,1.00000001e-01,1.20880627e-01,6.78815400e-02,1.14783460e+01
22,5.30207847e+00,1.83908607e+02,1.00000001e-01,1.15867336e-01,6.69495543e-02,1.19459591e+01
23,4.79925302e+00,1.69636379e+02,1.00000001e-01,8.90653985e-02,5.93061841e-02,1.05352550e+01
24,4.80483306e+00,1.70528539e+02,1.00000001e-01,1.37312331e-01,7.29290156e-02,1.15334253e+01
25,4.86691975e+00,1.62822276e+02,1.00000001e-01,1.12243517e-01,6.56758579e-02,1.00146496e+01
26,4.55307160e+00,1.62292193e+02,1.00000001e-01,8.98921820e-02,5.95334385e-02,9.71669401e+00
27,4.58446484e+00,1.56956770e+02,1.00000001e-01,1.22727341e-01,6.93321675e-02,1.00374514e+01
28,4.47573482e+00,1.75796866e+02,1.00000001e-01,1.30769921e-01,7.04554681e-02,9.79114955e+00
29,4.41659502e+00,1.50343368e+02,1.00000001e-01,1.16490964e-01,6.67564507e-02,9.87424523e+00
30,4.53688991e+00,1.57310587e+02,1.00000001e-01,1.38515902e-01,7.38539121e-02,9.89151573e+00
31,4.71944011e+00,1.84822351e+02,1.00000001e-01,1.15190193e-01,6.67760053e-02,9.39207690e+00
32,4.31889003e+00,1.57156569e+02,1.00000001e-01,1.10264143e-01,6.46212287e-02,8.86966964e+00
33,3.56542783e+00,1.32616206e+02,1.00000001e-01,9.15427442e-02,6.01056266e-02,8.31571470e+00
34,4.57012374e+00,1.68733236e+02,1.00000001e-01,1.60592744e-01,7.56475590e-02,9.98788684e+00
35,4.13498911e+00,1.50576663e+02,1.00000001e-01,9.57796872e-02,6.10591248e-02,7.58768095e+00
36,3.81787129e+00,1.53204833e+02,1.00000001e-01,9.30357533e-02,5.91649903e-02,8.07294158e+00
37,3.58784963e+00,1.30725339e+02,1.00000001e-01,7.66325774e-02,5.45560569e-02,7.06371553e+00
38,3.25287895e+00,1.27255979e+02,1.00000001e-01,1.03436777e-01,6.26107768e-02,7.34131105e+00
