epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,7.73164847e+01,2.07654467e+02,0.00000000e+00,7.67384004e+00,5.06995759e-01,3.18303602e+02
2,6.07284821e+01,1.20392107e+02,0.00000000e+00,8.03189570e+00,5.18125093e-01,3.10467324e+02
3,5.46466394e+01,9.48796093e+01,0.00000000e+00,6.51147775e+00,4.65358385e-01,4.20411015e+02
4,4.94163791e+01,8.15118607e+01,0.00000000e+00,6.20236476e+00,4.53982685e-01,4.37683177e+02
5,4.51402759e+01,7.29971554e+01,0.00000000e+00,6.07138328e+00,4.49396436e-01,4.26841029e+02
6,4.54270095e+01,6.51154159e+01,2.00000014e-02,5.09288058e+00,4.10708458e-01,1.40058176e+02
7,4.51246226e+01,6.18767024e+01,4.00000028e-02,4.54391618e+00,3.83985299e-01,1.11162027e+02
8,4.48074460e+01,5.98424247e+01,6.00000024e-02,4.41258680e+00,3.80459231e-01,9.35878863e+01
9,4.49258055e+01,5.66019566e+01,8.00000057e-02,4.52362566e+00,3.82424124e-01,9.04535500e+01
10,4.51756666e+01,5.49182011e+01,1.00000001e-01,4.16925120e+00,3.66971681e-01,8.51381034e+01
11,4.34441661e+01,5.17906590e+01,1.00000001e-01,5.14657190e+00,4.12760753e-01,8.81170786e+01
12,4.20097992e+01,5.00992849e+01,1.00000001e-01,3.99921250e+00,3.57661868e-01,7.86779046e+01
13,4.13077402e+01,4.81995851e+01,1.00000001e-01,4.25796896e+00,3.71469030e-01,7.80764322e+01
14,4.01416763e+01,4.72424673e+01,1.00000001e-01,4.26470582e+00,3.71456441e-01,8.65084068e+01
15,3.92469583e+01,4.58548177e+01,1.00000001e-01,4.19232700e+00,3.73550734e-01,8.44089109e+01
16,3.85700897e+01,4.53736184e+01,1.00000001e-01,4.21365218e+00,3.69717174e-01,8.28978450e+01
17,3.72875555e+01,4.31783236e+01,1.00000001e-01,4.57932732e+00,3.85306309e-01,8.10899554e+01
18,3.70792615e+01,4.32991123e+01,1.00000001e-01,3.68909042e+00,3.46027461e-01,6.75566764e+01
19,3.63794879e+01,4.29314188e+01,1.00000001e-01,3.87686500e+00,3.50373776e-01,7.15976104e+01
20,3.55458650e+01,4.23480448e+01,1.00000001e-01,5.27920317e+00,4.15198973e-01,9.27321669e+01
21,3.50136611e+01,4.14816313e+01,1.00000001e-01,3.93397231e+00,3.61433921e-01,7.21319162e+01
22,3.44363193e+01,4.17540902e+01,1.00000001e-01,3.85935576e+00,3.53076214e-01,6.77950985e+01
23,3.37910783e+01,4.21575120e+01,1.00000001e-01,4.12030693e+00,3.67299986e-01,8.15041785e+01
24,3.33411570e+01,4.15888244e+01,1.00000001e-01,4.53009657e+00,3.88313919e-01,7.38713064e+01
25,3.25703919e+01,4.08636702e+01,1.00000001e-01,3.49280057e+00,3.35993038e-01,6.45377289e+01
26,3.20308914e+01,4.09933180e+01,1.00000001e-01,3.86188085e+00,3.57628079e-01,7.71146443e+01
27,3.15539403e+01,4.08353671e+01,1.00000001e-01,3.73735534e+00,3.45841849e-01,7.06536444e+01
28,3.07448747e+01,4.09610646e+01,1.00000001e-01,4.48946490e+00,3.85745566e-01,7.98205630e+01
