mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.437308,0.00403813,5.73,1.0,0.527115,5,0.239,1,0.5889,0.968,0.403542,0.0379,2025-09-07T17:10:21.853,0.420425
0.437308,0.00403813,5.73,1.0,0.527115,5,0.239,2,0.5889,0.543,0.403542,0.0379,2025-09-07T17:10:34.123,0.420425
0.437308,0.00403813,5.73,1.0,0.527115,5,0.239,3,0.5889,0.986,0.403542,0.0379,2025-09-07T17:10:46.755,0.420425
0.437308,0.00403813,5.73,1.0,0.527115,5,0.239,4,0.5889,0.555,0.403542,0.0379,2025-09-07T17:10:59.788,0.420425
0.437308,0.00403813,5.73,1.0,0.527115,5,0.239,5,0.5889,1.018,0.403542,0.0379,2025-09-07T17:11:12.701,0.420425
0.363451,0.00343385,5.05,1.0,0.374961,4,0.074,1,0.5944,0.907,0.239259,0.0028,2025-09-07T17:09:16.009,0.301355
0.363451,0.00343385,5.05,1.0,0.374961,4,0.074,2,0.5944,0.594,0.239259,0.0028,2025-09-07T17:09:29.117,0.301355
0.363451,0.00343385,5.05,1.0,0.374961,4,0.074,3,0.5944,0.884,0.239259,0.0028,2025-09-07T17:09:41.442,0.301355
0.363451,0.00343385,5.05,1.0,0.374961,4,0.074,4,0.5944,0.57,0.239259,0.0028,2025-09-07T17:09:53.915,0.301355
0.363451,0.00343385,5.05,1.0,0.374961,4,0.074,5,0.5944,1.021,0.239259,0.0028,2025-09-07T17:10:08.515,0.301355
0.632072,0.00272268,6.19,1.0,0.757765,6,0.601,1,0.5702,0.993,0.557164,0.0527,2025-09-07T17:11:26.049,0.594618
0.632072,0.00272268,6.19,1.0,0.757765,6,0.601,2,0.5702,0.6,0.557164,0.0527,2025-09-07T17:11:40.935,0.594618
0.632072,0.00272268,6.19,1.0,0.757765,6,0.601,3,0.5702,0.594,0.557164,0.0527,2025-09-07T17:11:55.690,0.594618
0.632072,0.00272268,6.19,1.0,0.757765,6,0.601,4,0.5702,0.597,0.557164,0.0527,2025-09-07T17:12:09.943,0.594618
0.632072,0.00272268,6.19,1.0,0.757765,6,0.601,5,0.5702,0.586,0.557164,0.0527,2025-09-07T17:12:24.960,0.594618
0.69726,0.00197175,6.21,1.0,0.796348,7,0.961,1,0.5762,0.883,0.533092,0.056,2025-09-07T17:12:39.004,0.615176
0.69726,0.00197175,6.21,1.0,0.796348,7,0.961,2,0.5762,0.574,0.533092,0.056,2025-09-07T17:12:51.835,0.615176
0.69726,0.00197175,6.21,1.0,0.796348,7,0.961,3,0.5762,0.563,0.533092,0.056,2025-09-07T17:13:04.729,0.615176
0.69726,0.00197175,6.21,1.0,0.796348,7,0.961,4,0.5762,0.524,0.533092,0.056,2025-09-07T17:13:17.322,0.615176
0.69726,0.00197175,6.21,1.0,0.796348,7,0.961,5,0.5762,0.586,0.533092,0.056,2025-09-07T17:13:30.332,0.615176
0.691191,0.0003119,5.0,1.0,0.804587,2,0.043,1,0.4238,0.58,0.638421,0.0021,2025-09-07T17:06:56.685,0.664806
0.691191,0.0003119,5.0,1.0,0.804587,2,0.043,2,0.4238,0.607,0.638421,0.0021,2025-09-07T17:07:10.364,0.664806
0.691191,0.0003119,5.0,1.0,0.804587,2,0.043,3,0.4238,0.593,0.638421,0.0021,2025-09-07T17:07:23.422,0.664806
0.691191,0.0003119,5.0,1.0,0.804587,2,0.043,4,0.4238,0.6,0.638421,0.0021,2025-09-07T17:07:37.361,0.664806
0.691191,0.0003119,5.0,1.0,0.804587,2,0.043,5,0.4238,0.61,0.638421,0.0021,2025-09-07T17:07:51.177,0.664806
