mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.37116,0.01233866,9.71,1.0,0.519112,5,0.239,1,0.6951,0.803,0.398649,0.1898,2025-08-26T09:09:47.781,0.384905
0.37116,0.01233866,9.71,1.0,0.519112,5,0.239,2,0.6951,0.788,0.398649,0.1898,2025-08-26T09:09:58.837,0.384905
0.37116,0.01233866,9.71,1.0,0.519112,5,0.239,3,0.6951,0.802,0.398649,0.1898,2025-08-26T09:10:09.851,0.384905
0.37116,0.01233866,9.71,1.0,0.519112,5,0.239,4,0.6951,0.856,0.398649,0.1898,2025-08-26T09:10:20.734,0.384905
0.37116,0.01233866,9.71,1.0,0.519112,5,0.239,5,0.6951,0.791,0.398649,0.1898,2025-08-26T09:10:31.709,0.384905
0.271664,0.01321213,11.92,1.0,0.336762,4,0.074,1,0.7596,0.874,0.247903,0.1746,2025-08-26T09:08:51.914,0.259783
0.271664,0.01321213,11.92,1.0,0.336762,4,0.074,2,0.7596,0.922,0.247903,0.1746,2025-08-26T09:09:03.503,0.259783
0.271664,0.01321213,11.92,1.0,0.336762,4,0.074,3,0.7596,0.826,0.247903,0.1746,2025-08-26T09:09:14.577,0.259783
0.271664,0.01321213,11.92,1.0,0.336762,4,0.074,4,0.7596,0.825,0.247903,0.1746,2025-08-26T09:09:25.446,0.259783
0.271664,0.01321213,11.92,1.0,0.336762,4,0.074,5,0.7596,0.666,0.247903,0.1746,2025-08-26T09:09:36.386,0.259783
0.572047,0.00912709,1.68,1.0,0.742816,6,0.601,1,0.6726,0.783,0.527331,0.1795,2025-08-26T09:10:43.495,0.549689
0.572047,0.00912709,1.68,1.0,0.742816,6,0.601,2,0.6726,0.834,0.527331,0.1795,2025-08-26T09:10:54.863,0.549689
0.572047,0.00912709,1.68,1.0,0.742816,6,0.601,3,0.6726,0.817,0.527331,0.1795,2025-08-26T09:11:05.968,0.549689
0.572047,0.00912709,1.68,1.0,0.742816,6,0.601,4,0.6726,0.901,0.527331,0.1795,2025-08-26T09:11:17.470,0.549689
0.572047,0.00912709,1.68,1.0,0.742816,6,0.601,5,0.6726,0.833,0.527331,0.1795,2025-08-26T09:11:28.451,0.549689
0.611444,0.00752103,2.9,1.0,0.753865,7,0.961,1,0.7356,0.834,0.503835,0.2241,2025-08-26T09:11:40.284,0.55764
0.611444,0.00752103,2.9,1.0,0.753865,7,0.961,2,0.7356,0.631,0.503835,0.2241,2025-08-26T09:11:51.937,0.55764
0.611444,0.00752103,2.9,1.0,0.753865,7,0.961,3,0.7356,0.845,0.503835,0.2241,2025-08-26T09:12:02.906,0.55764
0.611444,0.00752103,2.9,1.0,0.753865,7,0.961,4,0.7356,0.864,0.503835,0.2241,2025-08-26T09:12:14.042,0.55764
0.611444,0.00752103,2.9,1.0,0.753865,7,0.961,5,0.7356,0.814,0.503835,0.2241,2025-08-26T09:12:25.225,0.55764
0.686665,0.01272787,22.22,1.0,0.819566,2,0.043,1,0.2939,0.84,0.612192,0.0256,2025-08-26T09:06:59.663,0.649429
0.686665,0.01272787,22.22,1.0,0.819566,2,0.043,2,0.2939,0.832,0.612192,0.0256,2025-08-26T09:07:10.524,0.649429
0.686665,0.01272787,22.22,1.0,0.819566,2,0.043,3,0.2939,0.838,0.612192,0.0256,2025-08-26T09:07:21.516,0.649429
0.686665,0.01272787,22.22,1.0,0.819566,2,0.043,4,0.2939,0.833,0.612192,0.0256,2025-08-26T09:07:32.544,0.649429
