mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.420473,0.00387405,4.06,1.0,0.521388,5,0.239,1,0.6319,1.121,0.395835,0.0674,2025-09-07T11:14:50.214,0.408154
0.420473,0.00387405,4.06,1.0,0.521388,5,0.239,2,0.6319,0.536,0.395835,0.0674,2025-09-07T11:15:03.471,0.408154
0.420473,0.00387405,4.06,1.0,0.521388,5,0.239,3,0.6319,0.568,0.395835,0.0674,2025-09-07T11:15:16.138,0.408154
0.420473,0.00387405,4.06,1.0,0.521388,5,0.239,4,0.6319,0.55,0.395835,0.0674,2025-09-07T11:15:28.652,0.408154
0.420473,0.00387405,4.06,1.0,0.521388,5,0.239,5,0.6319,0.906,0.395835,0.0674,2025-09-07T11:15:41.532,0.408154
0.360085,0.00431759,1.95,1.0,0.3828,4,0.074,1,0.5959,0.995,0.263093,0.0381,2025-09-07T11:13:41.569,0.311589
0.360085,0.00431759,1.95,1.0,0.3828,4,0.074,2,0.5959,0.562,0.263093,0.0381,2025-09-07T11:13:54.311,0.311589
0.360085,0.00431759,1.95,1.0,0.3828,4,0.074,3,0.5959,0.961,0.263093,0.0381,2025-09-07T11:14:07.948,0.311589
0.360085,0.00431759,1.95,1.0,0.3828,4,0.074,4,0.5959,0.586,0.263093,0.0381,2025-09-07T11:14:21.870,0.311589
0.360085,0.00431759,1.95,1.0,0.3828,4,0.074,5,0.5959,0.968,0.263093,0.0381,2025-09-07T11:14:35.812,0.311589
0.611824,0.00235951,5.6,1.0,0.739006,6,0.601,1,0.6086,0.884,0.529911,0.067,2025-09-07T11:15:54.460,0.570867
0.611824,0.00235951,5.6,1.0,0.739006,6,0.601,2,0.6086,0.539,0.529911,0.067,2025-09-07T11:16:06.771,0.570867
0.611824,0.00235951,5.6,1.0,0.739006,6,0.601,3,0.6086,0.532,0.529911,0.067,2025-09-07T11:16:18.535,0.570867
0.611824,0.00235951,5.6,1.0,0.739006,6,0.601,4,0.6086,0.836,0.529911,0.067,2025-09-07T11:16:30.267,0.570867
0.611824,0.00235951,5.6,1.0,0.739006,6,0.601,5,0.6086,0.525,0.529911,0.067,2025-09-07T11:16:41.919,0.570867
0.673278,0.00140411,6.83,1.0,0.777277,7,0.961,1,0.5951,0.823,0.505895,0.0817,2025-09-07T11:16:54.366,0.589586
0.673278,0.00140411,6.83,1.0,0.777277,7,0.961,2,0.5951,0.51,0.505895,0.0817,2025-09-07T11:17:06.286,0.589586
0.673278,0.00140411,6.83,1.0,0.777277,7,0.961,3,0.5951,0.539,0.505895,0.0817,2025-09-07T11:17:18.200,0.589586
0.673278,0.00140411,6.83,1.0,0.777277,7,0.961,4,0.5951,0.916,0.505895,0.0817,2025-09-07T11:17:30.187,0.589586
0.646919,0.00266589,2.7,1.0,0.771217,2,0.043,1,0.6197,0.577,0.607631,0.0389,2025-09-07T11:11:28.616,0.627275
0.646919,0.00266589,2.7,1.0,0.771217,2,0.043,2,0.6197,0.566,0.607631,0.0389,2025-09-07T11:11:41.441,0.627275
0.646919,0.00266589,2.7,1.0,0.771217,2,0.043,3,0.6197,0.918,0.607631,0.0389,2025-09-07T11:11:54.350,0.627275
0.646919,0.00266589,2.7,1.0,0.771217,2,0.043,4,0.6197,0.579,0.607631,0.0389,2025-09-07T11:12:07.557,0.627275
0.646919,0.00266589,2.7,1.0,0.771217,2,0.043,5,0.6197,0.878,0.607631,0.0389,2025-09-07T11:12:20.293,0.627275
0.606784,0.00075625,8.09,1.0,0.727797,10,1.924,1,0.6036,0.53,0.453484,0.1666,2025-09-07T11:19:45.154,0.530134
0.606784,0.00075625,8.09,1.0,0.727797,10,1.924,2,0.6036,0.554,0.453484,0.1666,2025-09-07T11:19:57.020,0.530134
0.606784,0.00075625,8.09,1.0,0.727797,10,1.924,3,0.6036,0.539,0.453484,0.1666,2025-09-07T11:20:09.160,0.530134
0.606784,0.00075625,8.09,1.0,0.727797,10,1.924,4,0.6036,0.588,0.453484,0.1666,2025-09-07T11:20:21.254,0.530134
0.606784,0.00075625,8.09,1.0,0.727797,10,1.924,5,0.6036,0.533,0.453484,0.1666,2025-09-07T11:20:33.230,0.530134
0.546053,0.00149173,7.94,1.0,0.638257,9,1.304,1,0.5933,0.557,0.402037,0.1339,2025-09-07T11:18:43.822,0.474045
0.546053,0.00149173,7.94,1.0,0.638257,9,1.304,2,0.5933,0.547,0.402037,0.1339,2025-09-07T11:18:55.683,0.474045
