mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.423505,0.00760664,3.75,1.0,0.526394,5,0.239,1,0.6195,0.521,0.421054,0.0849,2025-09-07T15:31:38.425,0.422279
0.423505,0.00760664,3.75,1.0,0.526394,5,0.239,2,0.6195,0.564,0.421054,0.0849,2025-09-07T15:31:51.154,0.422279
0.423505,0.00760664,3.75,1.0,0.526394,5,0.239,3,0.6195,0.551,0.421054,0.0849,2025-09-07T15:32:04.066,0.422279
0.423505,0.00760664,3.75,1.0,0.526394,5,0.239,4,0.6195,0.59,0.421054,0.0849,2025-09-07T15:32:16.832,0.422279
0.423505,0.00760664,3.75,1.0,0.526394,5,0.239,5,0.6195,0.919,0.421054,0.0849,2025-09-07T15:32:28.803,0.422279
0.34774,0.00830799,1.21,1.0,0.357897,4,0.074,1,0.6685,0.806,0.236093,0.0408,2025-09-07T15:30:40.003,0.291917
0.34774,0.00830799,1.21,1.0,0.357897,4,0.074,2,0.6685,0.534,0.236093,0.0408,2025-09-07T15:30:51.482,0.291917
0.34774,0.00830799,1.21,1.0,0.357897,4,0.074,3,0.6685,0.58,0.236093,0.0408,2025-09-07T15:31:03.182,0.291917
0.34774,0.00830799,1.21,1.0,0.357897,4,0.074,4,0.6685,0.552,0.236093,0.0408,2025-09-07T15:31:14.886,0.291917
0.34774,0.00830799,1.21,1.0,0.357897,4,0.074,5,0.6685,0.553,0.236093,0.0408,2025-09-07T15:31:26.497,0.291917
0.59918,0.00572113,5.31,1.0,0.749532,6,0.601,1,0.6129,0.528,0.577989,0.1069,2025-09-07T15:32:40.722,0.588584
0.59918,0.00572113,5.31,1.0,0.749532,6,0.601,2,0.6129,0.505,0.577989,0.1069,2025-09-07T15:32:52.309,0.588584
0.59918,0.00572113,5.31,1.0,0.749532,6,0.601,3,0.6129,0.551,0.577989,0.1069,2025-09-07T15:33:04.113,0.588584
0.59918,0.00572113,5.31,1.0,0.749532,6,0.601,4,0.6129,0.508,0.577989,0.1069,2025-09-07T15:33:15.858,0.588584
0.59918,0.00572113,5.31,1.0,0.749532,6,0.601,5,0.6129,0.52,0.577989,0.1069,2025-09-07T15:33:27.413,0.588584
0.650421,0.00437883,6.62,1.0,0.779875,7,0.961,1,0.621,0.521,0.545173,0.1105,2025-09-07T15:33:39.497,0.597797
0.650421,0.00437883,6.62,1.0,0.779875,7,0.961,2,0.621,0.513,0.545173,0.1105,2025-09-07T15:33:51.226,0.597797
0.650421,0.00437883,6.62,1.0,0.779875,7,0.961,3,0.621,0.537,0.545173,0.1105,2025-09-07T15:34:02.847,0.597797
0.650421,0.00437883,6.62,1.0,0.779875,7,0.961,4,0.621,0.51,0.545173,0.1105,2025-09-07T15:34:14.592,0.597797
0.650421,0.00437883,6.62,1.0,0.779875,7,0.961,5,0.621,0.521,0.545173,0.1105,2025-09-07T15:34:26.377,0.597797
0.689905,0.00717199,1.21,1.0,0.806819,2,0.043,1,0.4676,0.939,0.654997,0.0306,2025-09-07T15:28:42.735,0.672451
0.689905,0.00717199,1.21,1.0,0.806819,2,0.043,2,0.4676,0.591,0.654997,0.0306,2025-09-07T15:28:54.354,0.672451
0.689905,0.00717199,1.21,1.0,0.806819,2,0.043,3,0.4676,0.801,0.654997,0.0306,2025-09-07T15:29:05.953,0.672451
0.689905,0.00717199,1.21,1.0,0.806819,2,0.043,4,0.4676,0.572,0.654997,0.0306,2025-09-07T15:29:17.682,0.672451
0.689905,0.00717199,1.21,1.0,0.806819,2,0.043,5,0.4676,0.8,0.654997,0.0306,2025-09-07T15:29:29.363,0.672451
0.573176,0.00403009,7.67,1.0,0.711085,10,1.924,1,0.6519,0.532,0.461332,0.2042,2025-09-07T15:36:40.880,0.517254
0.573176,0.00403009,7.67,1.0,0.711085,10,1.924,2,0.6519,0.529,0.461332,0.2042,2025-09-07T15:36:54.940,0.517254
