mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.380248,0.01025871,3.48,1.0,0.504801,5,0.239,1,0.683,0.529,0.410398,0.113,2025-09-20T16:26:08.820,0.395323
0.380248,0.01025871,3.48,1.0,0.504801,5,0.239,2,0.683,0.523,0.410398,0.113,2025-09-20T16:26:20.394,0.395323
0.380248,0.01025871,3.48,1.0,0.504801,5,0.239,3,0.683,0.519,0.410398,0.113,2025-09-20T16:26:31.525,0.395323
0.380248,0.01025871,3.48,1.0,0.504801,5,0.239,4,0.683,0.514,0.410398,0.113,2025-09-20T16:26:42.489,0.395323
0.380248,0.01025871,3.48,1.0,0.504801,5,0.239,5,0.683,0.505,0.410398,0.113,2025-09-20T16:26:53.160,0.395323
0.275437,0.01055597,1.96,1.0,0.31955,4,0.074,1,0.7781,0.832,0.23367,0.0894,2025-09-20T16:25:11.191,0.254554
0.275437,0.01055597,1.96,1.0,0.31955,4,0.074,2,0.7781,0.51,0.23367,0.0894,2025-09-20T16:25:23.331,0.254554
0.275437,0.01055597,1.96,1.0,0.31955,4,0.074,3,0.7781,0.496,0.23367,0.0894,2025-09-20T16:25:34.411,0.254554
0.275437,0.01055597,1.96,1.0,0.31955,4,0.074,4,0.7781,0.529,0.23367,0.0894,2025-09-20T16:25:45.875,0.254554
0.275437,0.01055597,1.96,1.0,0.31955,4,0.074,5,0.7781,0.497,0.23367,0.0894,2025-09-20T16:25:57.449,0.254554
0.559708,0.00795074,4.81,1.0,0.719241,6,0.601,1,0.6848,0.867,0.561754,0.1468,2025-09-20T16:27:04.651,0.560731
0.559708,0.00795074,4.81,1.0,0.719241,6,0.601,2,0.6848,0.459,0.561754,0.1468,2025-09-20T16:27:15.251,0.560731
0.559708,0.00795074,4.81,1.0,0.719241,6,0.601,3,0.6848,0.518,0.561754,0.1468,2025-09-20T16:27:26.056,0.560731
0.559708,0.00795074,4.81,1.0,0.719241,6,0.601,4,0.6848,0.485,0.561754,0.1468,2025-09-20T16:27:36.931,0.560731
0.559708,0.00795074,4.81,1.0,0.719241,6,0.601,5,0.6848,0.473,0.561754,0.1468,2025-09-20T16:27:47.728,0.560731
0.606079,0.0063356,5.61,1.0,0.742518,7,0.961,1,0.7035,0.481,0.524391,0.1584,2025-09-20T16:27:58.862,0.565235
0.606079,0.0063356,5.61,1.0,0.742518,7,0.961,2,0.7035,0.497,0.524391,0.1584,2025-09-20T16:28:09.334,0.565235
0.606079,0.0063356,5.61,1.0,0.742518,7,0.961,3,0.7035,0.477,0.524391,0.1584,2025-09-20T16:28:20.258,0.565235
0.606079,0.0063356,5.61,1.0,0.742518,7,0.961,4,0.7035,0.467,0.524391,0.1584,2025-09-20T16:28:30.880,0.565235
0.606079,0.0063356,5.61,1.0,0.742518,7,0.961,5,0.7035,0.457,0.524391,0.1584,2025-09-20T16:28:41.509,0.565235
0.671676,0.00893233,1.5,1.0,0.792989,2,0.043,1,0.4235,0.87,0.634757,0.0301,2025-09-20T16:23:07.922,0.653216
0.671676,0.00893233,1.5,1.0,0.792989,2,0.043,2,0.4235,0.633,0.634757,0.0301,2025-09-20T16:23:20.874,0.653216
0.671676,0.00893233,1.5,1.0,0.792989,2,0.043,3,0.4235,0.89,0.634757,0.0301,2025-09-20T16:23:33.135,0.653216
0.671676,0.00893233,1.5,1.0,0.792989,2,0.043,4,0.4235,0.625,0.634757,0.0301,2025-09-20T16:23:45.478,0.653216
0.671676,0.00893233,1.5,1.0,0.792989,2,0.043,5,0.4235,0.865,0.634757,0.0301,2025-09-20T16:23:57.754,0.653216
0.511535,0.00426931,5.69,1.0,0.66518,10,1.924,1,0.735,0.476,0.440778,0.2694,2025-09-20T16:30:42.725,0.476157
0.511535,0.00426931,5.69,1.0,0.66518,10,1.924,2,0.735,0.958,0.440778,0.2694,2025-09-20T16:30:54.216,0.476157
0.511535,0.00426931,5.69,1.0,0.66518,10,1.924,3,0.735,0.492,0.440778,0.2694,2025-09-20T16:31:05.806,0.476157
0.511535,0.00426931,5.69,1.0,0.66518,10,1.924,4,0.735,0.509,0.440778,0.2694,2025-09-20T16:31:16.914,0.476157
0.511535,0.00426931,5.69,1.0,0.66518,10,1.924,5,0.735,0.495,0.440778,0.2694,2025-09-20T16:31:27.673,0.476157
0.456454,0.00568062,6.48,1.0,0.573223,9,1.304,1,0.7279,0.517,0.373645,0.221,2025-09-20T16:29:47.578,0.415049
0.456454,0.00568062,6.48,1.0,0.573223,9,1.304,2,0.7279,0.485,0.373645,0.221,2025-09-20T16:29:58.490,0.415049
0.456454,0.00568062,6.48,1.0,0.573223,9,1.304,3,0.7279,0.487,0.373645,0.221,2025-09-20T16:30:09.618,0.415049
0.456454,0.00568062,6.48,1.0,0.573223,9,1.304,4,0.7279,0.508,0.373645,0.221,2025-09-20T16:30:20.685,0.415049
0.456454,0.00568062,6.48,1.0,0.573223,9,1.304,5,0.7279,0.491,0.373645,0.221,2025-09-20T16:30:31.721,0.415049
0.474579,0.00560086,6.28,1.0,0.566325,8,1.005,1,0.7145,0.528,0.365449,0.198,2025-09-20T16:28:52.599,0.420014
0.474579,0.00560086,6.28,1.0,0.566325,8,1.005,2,0.7145,0.787,0.365449,0.198,2025-09-20T16:29:03.679,0.420014
0.474579,0.00560086,6.28,1.0,0.566325,8,1.005,3,0.7145,0.543,0.365449,0.198,2025-09-20T16:29:14.662,0.420014
0.474579,0.00560086,6.28,1.0,0.566325,8,1.005,4,0.7145,0.476,0.365449,0.198,2025-09-20T16:29:25.737,0.420014
0.474579,0.00560086,6.28,1.0,0.566325,8,1.005,5,0.7145,0.493,0.365449,0.198,2025-09-20T16:29:36.517,0.420014
0.563205,0.0087928,1.67,1.0,0.674202,3,0.092,1,0.6045,1.324,0.512719,0.0322,2025-09-20T16:24:11.523,0.537962
0.563205,0.0087928,1.67,1.0,0.674202,3,0.092,2,0.6045,0.603,0.512719,0.0322,2025-09-20T16:24:23.626,0.537962
0.563205,0.0087928,1.67,1.0,0.674202,3,0.092,3,0.6045,0.91,0.512719,0.0322,2025-09-20T16:24:35.549,0.537962
0.563205,0.0087928,1.67,1.0,0.674202,3,0.092,4,0.6045,0.557,0.512719,0.0322,2025-09-20T16:24:47.749,0.537962
0.563205,0.0087928,1.67,1.0,0.674202,3,0.092,5,0.6045,0.534,0.512719,0.0322,2025-09-20T16:24:59.582,0.537962
0.491346,0.00976598,1.0,1.0,0.609065,1,0.0,1,0.1576,0.948,0.462846,0.1462,2025-09-20T16:22:04.269,0.477096
0.491346,0.00976598,1.0,1.0,0.609065,1,0.0,2,0.1576,0.617,0.462846,0.1462,2025-09-20T16:22:18.169,0.477096
0.491346,0.00976598,1.0,1.0,0.609065,1,0.0,3,0.1576,0.585,0.462846,0.1462,2025-09-20T16:22:30.351,0.477096
0.491346,0.00976598,1.0,1.0,0.609065,1,0.0,4,0.1576,0.652,0.462846,0.1462,2025-09-20T16:22:42.724,0.477096
0.491346,0.00976598,1.0,1.0,0.609065,1,0.0,5,0.1576,0.618,0.462846,0.1462,2025-09-20T16:22:55.243,0.477096
