epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,1.16509629e+02,4.63100719e+02,0.00000000e+00,5.97171429e+00,4.92074996e-01,4.95463261e+02
2,4.56078244e+01,3.86959049e+02,0.00000000e+00,2.72796197e+00,3.26831302e-01,5.48854832e+02
3,2.70819772e+01,3.01174243e+02,0.00000000e+00,1.76749189e+00,2.67179662e-01,4.80971592e+02
4,2.22801719e+01,2.78916392e+02,0.00000000e+00,1.14262229e+00,2.13473693e-01,5.07118247e+02
5,1.73895003e+01,2.45782569e+02,0.00000000e+00,1.16517672e+00,2.13747567e-01,5.30524187e+02
6,1.89611820e+01,2.32876100e+02,2.00000014e-02,9.58972671e-01,1.90343161e-01,8.35668488e+01
7,1.60960227e+01,2.07249014e+02,4.00000028e-02,4.34056020e-01,1.29121073e-01,4.14183971e+01
8,1.61638320e+01,2.15515270e+02,6.00000024e-02,9.82262786e-01,1.95957007e-01,4.52242960e+01
9,1.52144101e+01,2.06387214e+02,8.00000057e-02,5.71891095e-01,1.48501172e-01,3.04993629e+01
10,1.52352104e+01,2.02301226e+02,1.00000001e-01,6.59868091e-01,1.58463810e-01,3.11428209e+01
11,1.38612716e+01,1.95444104e+02,1.00000001e-01,7.70918041e-01,1.72962106e-01,2.94314908e+01
12,1.21276724e+01,1.71648632e+02,1.00000001e-01,4.82383894e-01,1.39545518e-01,2.18750082e+01
13,1.05030518e+01,1.59007900e+02,1.00000001e-01,4.85124652e-01,1.38352022e-01,2.32451289e+01
14,1.17029597e+01,1.61672698e+02,1.00000001e-01,4.90698938e-01,1.39623401e-01,2.34062601e+01
15,1.06588903e+01,1.58917942e+02,1.00000001e-01,3.95922989e-01,1.24915765e-01,1.88286081e+01
16,1.02696500e+01,1.47815770e+02,1.00000001e-01,3.60712607e-01,1.17456241e-01,1.89921553e+01
17,1.06756867e+01,1.59019158e+02,1.00000001e-01,4.81530424e-01,1.35897355e-01,2.04774799e+01
18,8.60902762e+00,1.26849909e+02,1.00000001e-01,3.27048268e-01,1.13209249e-01,1.43868667e+01
19,8.91288264e+00,1.35432907e+02,1.00000001e-01,2.28407307e-01,9.38147455e-02,1.55643591e+01
20,1.00680354e+01,1.43233433e+02,1.00000001e-01,3.28212438e-01,1.11286127e-01,1.53037818e+01
21,8.27572867e+00,1.20457131e+02,1.00000001e-01,2.72156721e-01,1.01425227e-01,1.33579300e+01
22,8.28143734e+00,1.25760571e+02,1.00000001e-01,3.85973737e-01,1.22656698e-01,2.03283916e+01
23,7.39124077e+00,1.22211061e+02,1.00000001e-01,2.48519970e-01,9.84007482e-02,1.30962318e+01
24,8.45141254e+00,1.24316579e+02,1.00000001e-01,3.19667548e-01,1.11451230e-01,1.49687480e+01
25,8.41759552e+00,1.19121658e+02,1.00000001e-01,2.52682568e-01,9.87095279e-02,1.40982207e+01
26,7.55626710e+00,1.15342283e+02,1.00000001e-01,2.76698479e-01,1.04325352e-01,1.19134043e+01
27,7.04170612e+00,1.09400646e+02,1.00000001e-01,2.57678113e-01,1.00256492e-01,1.29081263e+01
28,7.42674254e+00,1.14380222e+02,1.00000001e-01,2.91443835e-01,1.05021426e-01,1.32885136e+01
29,7.84449358e+00,1.22577378e+02,1.00000001e-01,3.40828376e-01,1.16669622e-01,1.41492519e+01
30,7.47605377e+00,1.16954144e+02,1.00000001e-01,2.50140641e-01,9.77297659e-02,1.11772506e+01
31,7.68284020e+00,1.18707985e+02,1.00000001e-01,2.21786944e-01,9.24729598e-02,1.07017576e+01
32,6.52526401e+00,1.00869663e+02,1.00000001e-01,2.85235269e-01,1.06424712e-01,1.26785030e+01
33,6.02350529e+00,9.40679057e+01,1.00000001e-01,3.16270805e-01,1.09388947e-01,1.12200763e+01
34,6.99312100e+00,1.15017136e+02,1.00000001e-01,3.20788567e-01,1.12925313e-01,1.39788066e+01
35,6.15383034e+00,9.85974367e+01,1.00000001e-01,1.67744874e-01,7.99699766e-02,8.64816570e+00
36,6.90149320e+00,1.17620300e+02,1.00000001e-01,2.99826567e-01,1.08715505e-01,1.37452897e+01
37,6.14173207e+00,8.75419505e+01,1.00000001e-01,1.12501425e-01,6.59017962e-02,7.52155290e+00
