epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
50,1.96448620e+01,3.25367702e+01,1.00000001e-01,4.25325027e+00,3.56907988e-01,7.92256405e+01
51,1.90593500e+01,3.22296682e+01,1.00000001e-01,3.59801768e+00,3.23580565e-01,7.14104646e+01
52,1.84697551e+01,3.19462385e+01,1.00000001e-01,4.23341901e+00,3.62353225e-01,7.55163933e+01
53,1.78625988e+01,3.14566530e+01,1.00000001e-01,4.12655095e+00,3.50073942e-01,7.74310154e+01
54,1.73200660e+01,3.12508176e+01,1.00000001e-01,3.98241317e+00,3.48898313e-01,7.73433248e+01
55,1.67891713e+01,3.06266949e+01,1.00000001e-01,4.30291915e+00,3.63197828e-01,7.61994745e+01
56,1.62163305e+01,3.05805964e+01,1.00000001e-01,4.22925524e+00,3.50063033e-01,7.63294123e+01
57,1.55431384e+01,2.96900879e+01,1.00000001e-01,4.11316742e+00,3.51031066e-01,7.66370891e+01
58,1.51597080e+01,2.93352293e+01,1.00000001e-01,4.06319481e+00,3.51516667e-01,7.46165370e+01
59,1.45606076e+01,2.90615731e+01,1.00000001e-01,4.11099155e+00,3.50307553e-01,7.83245172e+01
60,1.41161395e+01,2.87406538e+01,1.00000001e-01,4.48287015e+00,3.68243125e-01,8.00277329e+01
61,1.37306122e+01,2.81116228e+01,1.00000001e-01,4.32347194e+00,3.62087948e-01,7.42300670e+01
62,1.31563984e+01,2.72922984e+01,1.00000001e-01,4.08130839e+00,3.51342935e-01,7.10780143e+01
63,1.29694439e+01,2.77346414e+01,1.00000001e-01,3.95533098e+00,3.47074361e-01,7.18656317e+01
64,1.23557755e+01,2.69434637e+01,1.00000001e-01,4.32693307e+00,3.63192166e-01,7.60672874e+01
65,1.20159463e+01,2.66005890e+01,1.00000001e-01,4.51337144e+00,3.72208030e-01,7.59368826e+01
66,1.17238858e+01,2.65484022e+01,1.00000001e-01,4.08437093e+00,3.44988454e-01,7.29836558e+01
67,1.12873412e+01,2.57479182e+01,1.00000001e-01,3.98422284e+00,3.44728785e-01,7.04647499e+01
68,1.08387382e+01,2.51823161e+01,1.00000001e-01,4.16072978e+00,3.54202374e-01,7.48485903e+01
69,1.07247598e+01,2.52454193e+01,1.00000001e-01,4.41818443e+00,3.72842335e-01,6.97265648e+01
70,1.01707724e+01,2.41796740e+01,1.00000001e-01,4.23468711e+00,3.53711544e-01,7.12814261e+01
71,1.00881108e+01,2.50250077e+01,1.00000001e-01,4.13390367e+00,3.53907916e-01,7.11762660e+01
72,9.66552124e+00,2.36580031e+01,1.00000001e-01,4.20028290e+00,3.57505510e-01,7.23762466e+01
73,9.43327253e+00,2.35788228e+01,1.00000001e-01,4.31284737e+00,3.61982120e-01,7.07709354e+01
74,9.22205039e+00,2.37661979e+01,1.00000001e-01,4.22098412e+00,3.60088862e-01,7.30640388e+01
75,8.96923325e+00,2.31060067e+01,1.00000001e-01,4.36021208e+00,3.64567035e-01,7.40027049e+01
76,8.68337503e+00,2.29308809e+01,1.00000001e-01,4.34155082e+00,3.60709157e-01,7.21536063e+01
77,8.36122976e+00,2.20799384e+01,1.00000001e-01,4.26561188e+00,3.55516050e-01,7.50695869e+01
78,8.32096541e+00,2.21174118e+01,1.00000001e-01,4.25788226e+00,3.62343615e-01,7.02495998e+01
79,8.07272943e+00,2.18724359e+01,1.00000001e-01,4.42140007e+00,3.67415346e-01,7.25001667e+01
80,7.93863970e+00,2.17089404e+01,1.00000001e-01,4.28971028e+00,3.62818490e-01,7.12701337e+01
81,7.70858395e+00,2.13690274e+01,1.00000001e-01,4.49467172e+00,3.65872902e-01,7.44423544e+01
82,7.42409554e+00,2.08022677e+01,1.00000001e-01,4.75348689e+00,3.83750869e-01,7.86478318e+01
83,7.21452400e+00,2.03642647e+01,1.00000001e-01,4.32032765e+00,3.57879597e-01,7.28835792e+01
84,7.08596961e+00,2.00550041e+01,1.00000001e-01,4.60316673e+00,3.79798188e-01,7.58150072e+01
85,6.88853507e+00,1.99558343e+01,1.00000001e-01,4.19576437e+00,3.56521145e-01,7.09417449e+01
86,6.66689830e+00,1.96318628e+01,1.00000001e-01,4.01051124e+00,3.43150581e-01,6.98206877e+01
87,6.72289390e+00,1.98274030e+01,1.00000001e-01,4.15752573e+00,3.47706325e-01,6.97320391e+01
88,6.50393629e+00,1.92176543e+01,1.00000001e-01,4.30723014e+00,3.59678545e-01,7.17616230e+01
89,6.47674726e+00,1.97480628e+01,1.00000001e-01,4.48524733e+00,3.69729664e-01,7.30011149e+01
90,6.15153682e+00,1.82495437e+01,1.00000001e-01,4.20179104e+00,3.55957620e-01,6.94933966e+01
91,5.92337699e+00,1.82387659e+01,1.00000001e-01,4.29121903e+00,3.56774686e-01,7.46138924e+01
92,5.96896405e+00,1.83586506e+01,1.00000001e-01,4.55439814e+00,3.73158337e-01,7.40079625e+01
93,5.95196896e+00,1.84269296e+01,1.00000001e-01,4.37258688e+00,3.62303138e-01,6.93666677e+01
94,5.72956434e+00,1.79581979e+01,1.00000001e-01,4.36677558e+00,3.61829735e-01,6.92140679e+01
95,5.63923364e+00,1.78020090e+01,1.00000001e-01,4.26413261e+00,3.53866811e-01,7.03182560e+01
96,5.51380179e+00,1.75609995e+01,1.00000001e-01,4.25413905e+00,3.60230608e-01,7.06935130e+01
97,5.46499237e+00,1.74519368e+01,1.00000001e-01,4.32338636e+00,3.62722143e-01,6.96297601e+01
98,5.27496763e+00,1.67838173e+01,1.00000001e-01,4.23380372e+00,3.54458289e-01,6.78875564e+01
99,5.15427874e+00,1.67339508e+01,1.00000001e-01,4.44335483e+00,3.64593612e-01,7.18214519e+01
100,5.15294704e+00,1.69560733e+01,1.00000001e-01,4.55985957e+00,3.71709168e-01,7.25477080e+01
101,5.07171897e+00,1.67267659e+01,1.00000001e-01,4.41918777e+00,3.65247816e-01,6.85821539e+01
102,5.04377631e+00,1.69200510e+01,1.00000001e-01,4.40037041e+00,3.64422550e-01,7.34034124e+01
103,4.92210431e+00,1.66410519e+01,1.00000001e-01,4.35964364e+00,3.63839913e-01,6.86330437e+01
104,4.75663968e+00,1.60344161e+01,1.00000001e-01,4.22922787e+00,3.55594474e-01,7.13589574e+01
105,4.67737489e+00,1.58033167e+01,1.00000001e-01,4.15664343e+00,3.49317122e-01,7.09932332e+01
106,4.54899441e+00,1.53500147e+01,1.00000001e-01,4.26368726e+00,3.61565222e-01,6.90675192e+01
107,4.84379728e+00,1.64770111e+01,1.00000001e-01,4.48356177e+00,3.65935818e-01,7.21356343e+01
108,4.40229443e+00,1.50434204e+01,1.00000001e-01,4.53819297e+00,3.73873906e-01,7.10648693e+01
109,4.44154538e+00,1.52325178e+01,1.00000001e-01,4.28362916e+00,3.56999038e-01,7.27249977e+01
